fiche.date_expedition;fiche_enqueteur.date;crabe.taille
2021-07-16;2021-06-14;120
2021-07-16;2021-06-14;121
2021-07-16;2021-06-14;121
2021-07-16;2021-06-14;126
2021-07-16;2021-06-14;130
2021-07-16;2021-06-14;130
2021-07-16;2021-06-14;140
2021-07-16;2021-06-14;143
2021-07-16;2021-06-14;150
2021-07-16;2021-06-14;160
2021-07-16;2021-06-21;80
2021-07-16;2021-06-21;81
2021-07-16;2021-06-21;82
2021-07-16;2021-06-21;82
2021-07-16;2021-06-21;83
2021-07-16;2021-06-21;83
2021-07-16;2021-06-21;85
2021-07-16;2021-06-21;85
2021-07-16;2021-06-21;86
2021-07-16;2021-06-21;87
2021-07-16;2021-06-21;88
2021-07-16;2021-06-21;88
2021-07-16;2021-06-21;89
2021-07-16;2021-06-21;90
2021-07-16;2021-06-21;90
2021-07-16;2021-06-21;90
2021-07-16;2021-06-21;91
2021-07-16;2021-06-21;92
2021-07-16;2021-06-21;92
2021-07-16;2021-06-21;92
2021-07-16;2021-06-21;92
2021-07-16;2021-06-21;93
2021-07-16;2021-06-21;93
2021-07-16;2021-06-21;94
2021-07-16;2021-06-21;94
2021-07-16;2021-06-21;95
2021-07-16;2021-06-21;95
2021-07-16;2021-06-21;96
2021-07-16;2021-06-21;98
2021-07-16;2021-06-21;98
2021-07-16;2021-06-21;99
2021-07-16;2021-06-21;99
2021-07-16;2021-06-21;99
2021-07-16;2021-06-21;101
2021-07-16;2021-06-21;101
2021-07-16;2021-06-21;102
2021-07-16;2021-06-21;102
2021-07-16;2021-06-21;102
2021-07-16;2021-06-21;103
2021-07-16;2021-06-21;103
2021-07-16;2021-06-21;103
2021-07-16;2021-06-21;103
2021-07-16;2021-06-21;104
2021-07-16;2021-06-21;104
2021-07-16;2021-06-21;105
2021-07-16;2021-06-21;105
2021-07-16;2021-06-21;106
2021-07-16;2021-06-21;107
2021-07-16;2021-06-21;107
2021-07-16;2021-06-21;107
2021-07-16;2021-06-21;108
2021-07-16;2021-06-21;109
2021-07-16;2021-06-21;109
2021-07-16;2021-06-21;110
2021-07-16;2021-06-21;110
2021-07-16;2021-06-21;110
2021-07-16;2021-06-21;111
2021-07-16;2021-06-21;111
2021-07-16;2021-06-21;112
2021-07-16;2021-06-21;113
2021-07-16;2021-06-21;113
2021-07-16;2021-06-21;114
2021-07-16;2021-06-21;114
2021-07-16;2021-06-21;115
2021-07-16;2021-06-21;116
2021-07-16;2021-06-21;117
2021-07-16;2021-06-21;117
2021-07-16;2021-06-21;118
2021-07-16;2021-06-21;119
2021-07-16;2021-06-21;119
2021-07-16;2021-06-21;121
2021-07-16;2021-06-21;123
2021-07-16;2021-06-21;126
2021-07-16;2021-06-21;127
2021-07-16;2021-06-21;130
2021-07-16;2021-06-21;130
2021-07-16;2021-06-21;130
2021-07-16;2021-06-21;134
2021-07-16;2021-06-21;139
2021-07-16;2021-06-21;140
2021-07-16;2021-06-21;140
2021-07-16;2021-06-21;144
2021-07-16;2021-06-21;145
2021-07-16;2021-06-21;145
2021-07-16;2021-06-21;147
2021-07-16;2021-06-21;149
2021-07-16;2021-06-21;155
2021-07-16;2021-06-21;160
2021-07-16;2021-06-22;80
2021-07-16;2021-06-22;80
2021-07-16;2021-06-22;80
2021-07-16;2021-06-22;80
2021-07-16;2021-06-22;80
2021-07-16;2021-06-22;80
2021-07-16;2021-06-22;81
2021-07-16;2021-06-22;81
2021-07-16;2021-06-22;82
2021-07-16;2021-06-22;82
2021-07-16;2021-06-22;82
2021-07-16;2021-06-22;83
2021-07-16;2021-06-22;83
2021-07-16;2021-06-22;83
2021-07-16;2021-06-22;83
2021-07-16;2021-06-22;84
2021-07-16;2021-06-22;85
2021-07-16;2021-06-22;86
2021-07-16;2021-06-22;87
2021-07-16;2021-06-22;87
2021-07-16;2021-06-22;89
2021-07-16;2021-06-22;90
2021-07-16;2021-06-22;90
2021-07-16;2021-06-22;90
2021-07-16;2021-06-22;90
2021-07-16;2021-06-22;91
2021-07-16;2021-06-22;91
2021-07-16;2021-06-22;91
2021-07-16;2021-06-22;91
2021-07-16;2021-06-22;92
2021-07-16;2021-06-22;92
2021-07-16;2021-06-22;92
2021-07-16;2021-06-22;93
2021-07-16;2021-06-22;93
2021-07-16;2021-06-22;94
2021-07-16;2021-06-22;94
2021-07-16;2021-06-22;94
2021-07-16;2021-06-22;94
2021-07-16;2021-06-22;94
2021-07-16;2021-06-22;95
2021-07-16;2021-06-22;95
2021-07-16;2021-06-22;95
2021-07-16;2021-06-22;95
2021-07-16;2021-06-22;96
2021-07-16;2021-06-22;96
2021-07-16;2021-06-22;96
2021-07-16;2021-06-22;99
2021-07-16;2021-06-22;99
2021-07-16;2021-06-22;99
2021-07-16;2021-06-22;99
2021-07-16;2021-06-22;99
2021-07-16;2021-06-22;100
2021-07-16;2021-06-22;100
2021-07-16;2021-06-22;100
2021-07-16;2021-06-22;100
2021-07-16;2021-06-22;100
2021-07-16;2021-06-22;101
2021-07-16;2021-06-22;101
2021-07-16;2021-06-22;101
2021-07-16;2021-06-22;101
2021-07-16;2021-06-22;102
2021-07-16;2021-06-22;102
2021-07-16;2021-06-22;102
2021-07-16;2021-06-22;102
2021-07-16;2021-06-22;102
2021-07-16;2021-06-22;103
2021-07-16;2021-06-22;103
2021-07-16;2021-06-22;103
2021-07-16;2021-06-22;103
2021-07-16;2021-06-22;104
2021-07-16;2021-06-22;105
2021-07-16;2021-06-22;105
2021-07-16;2021-06-22;106
2021-07-16;2021-06-22;106
2021-07-16;2021-06-22;107
2021-07-16;2021-06-22;107
2021-07-16;2021-06-22;107
2021-07-16;2021-06-22;108
2021-07-16;2021-06-22;108
2021-07-16;2021-06-22;108
2021-07-16;2021-06-22;108
2021-07-16;2021-06-22;109
2021-07-16;2021-06-22;109
2021-07-16;2021-06-22;109
2021-07-16;2021-06-22;109
2021-07-16;2021-06-22;109
2021-07-16;2021-06-22;110
2021-07-16;2021-06-22;110
2021-07-16;2021-06-22;110
2021-07-16;2021-06-22;110
2021-07-16;2021-06-22;110
2021-07-16;2021-06-22;111
2021-07-16;2021-06-22;111
2021-07-16;2021-06-22;111
2021-07-16;2021-06-22;111
2021-07-16;2021-06-22;112
2021-07-16;2021-06-22;112
2021-07-16;2021-06-22;112
2021-07-16;2021-06-22;112
2021-07-16;2021-06-22;113
2021-07-16;2021-06-22;113
2021-07-16;2021-06-22;113
2021-07-16;2021-06-22;114
2021-07-16;2021-06-22;114
2021-07-16;2021-06-22;114
2021-07-16;2021-06-22;114
2021-07-16;2021-06-22;114
2021-07-16;2021-06-22;114
2021-07-16;2021-06-22;115
2021-07-16;2021-06-22;116
2021-07-16;2021-06-22;116
2021-07-16;2021-06-22;116
2021-07-16;2021-06-22;116
2021-07-16;2021-06-22;117
2021-07-16;2021-06-22;117
2021-07-16;2021-06-22;117
2021-07-16;2021-06-22;118
2021-07-16;2021-06-22;118
2021-07-16;2021-06-22;119
2021-07-16;2021-06-22;119
2021-07-16;2021-06-22;119
2021-07-16;2021-06-22;119
2021-07-16;2021-06-22;119
2021-07-16;2021-06-22;120
2021-07-16;2021-06-22;120
2021-07-16;2021-06-22;120
2021-07-16;2021-06-22;120
2021-07-16;2021-06-22;121
2021-07-16;2021-06-22;125
2021-07-16;2021-06-22;128
2021-07-16;2021-06-22;129
2021-07-16;2021-06-22;129
2021-07-16;2021-06-22;130
2021-07-16;2021-06-22;130
2021-07-16;2021-06-22;132
2021-07-16;2021-06-22;132
2021-07-16;2021-06-22;137
2021-07-16;2021-06-22;139
2021-07-16;2021-06-22;140
2021-07-16;2021-06-22;144
2021-07-16;2021-06-22;144
2021-07-16;2021-06-22;149
2021-07-16;2021-06-22;150
2021-07-16;2021-06-22;150
2021-07-16;2021-06-22;150
2021-07-16;2021-06-22;155
2021-07-16;2021-06-22;155
2021-07-16;2021-06-22;160
2021-07-16;2021-06-22;160
2021-07-16;2021-06-23;80
2021-07-16;2021-06-23;90
2021-07-16;2021-06-23;90
2021-07-16;2021-06-23;90
2021-07-16;2021-06-23;91
2021-07-16;2021-06-23;91
2021-07-16;2021-06-23;92
2021-07-16;2021-06-23;93
2021-07-16;2021-06-23;93
2021-07-16;2021-06-23;94
2021-07-16;2021-06-23;94
2021-07-16;2021-06-23;94
2021-07-16;2021-06-23;95
2021-07-16;2021-06-23;96
2021-07-16;2021-06-23;96
2021-07-16;2021-06-23;97
2021-07-16;2021-06-23;97
2021-07-16;2021-06-23;97
2021-07-16;2021-06-23;99
2021-07-16;2021-06-23;99
2021-07-16;2021-06-23;100
2021-07-16;2021-06-23;100
2021-07-16;2021-06-23;100
2021-07-16;2021-06-23;101
2021-07-16;2021-06-23;101
2021-07-16;2021-06-23;101
2021-07-16;2021-06-23;101
2021-07-16;2021-06-23;101
2021-07-16;2021-06-23;101
2021-07-16;2021-06-23;102
2021-07-16;2021-06-23;102
2021-07-16;2021-06-23;102
2021-07-16;2021-06-23;102
2021-07-16;2021-06-23;103
2021-07-16;2021-06-23;103
2021-07-16;2021-06-23;103
2021-07-16;2021-06-23;103
2021-07-16;2021-06-23;104
2021-07-16;2021-06-23;104
2021-07-16;2021-06-23;105
2021-07-16;2021-06-23;105
2021-07-16;2021-06-23;106
2021-07-16;2021-06-23;106
2021-07-16;2021-06-23;107
2021-07-16;2021-06-23;107
2021-07-16;2021-06-23;108
2021-07-16;2021-06-23;108
2021-07-16;2021-06-23;108
2021-07-16;2021-06-23;109
2021-07-16;2021-06-23;109
2021-07-16;2021-06-23;109
2021-07-16;2021-06-23;110
2021-07-16;2021-06-23;110
2021-07-16;2021-06-23;110
2021-07-16;2021-06-23;111
2021-07-16;2021-06-23;111
2021-07-16;2021-06-23;111
2021-07-16;2021-06-23;112
2021-07-16;2021-06-23;112
2021-07-16;2021-06-23;112
2021-07-16;2021-06-23;112
2021-07-16;2021-06-23;113
2021-07-16;2021-06-23;113
2021-07-16;2021-06-23;113
2021-07-16;2021-06-23;114
2021-07-16;2021-06-23;114
2021-07-16;2021-06-23;114
2021-07-16;2021-06-23;115
2021-07-16;2021-06-23;115
2021-07-16;2021-06-23;116
2021-07-16;2021-06-23;116
2021-07-16;2021-06-23;116
2021-07-16;2021-06-23;116
2021-07-16;2021-06-23;117
2021-07-16;2021-06-23;117
2021-07-16;2021-06-23;117
2021-07-16;2021-06-23;117
2021-07-16;2021-06-23;118
2021-07-16;2021-06-23;118
2021-07-16;2021-06-23;119
2021-07-16;2021-06-23;119
2021-07-16;2021-06-23;119
2021-07-16;2021-06-23;120
2021-07-16;2021-06-23;120
2021-07-16;2021-06-23;121
2021-07-16;2021-06-23;121
2021-07-16;2021-06-23;121
2021-07-16;2021-06-23;123
2021-07-16;2021-06-23;127
2021-07-16;2021-06-23;127
2021-07-16;2021-06-23;128
2021-07-16;2021-06-23;128
2021-07-16;2021-06-23;128
2021-07-16;2021-06-23;128
2021-07-16;2021-06-23;129
2021-07-16;2021-06-23;130
2021-07-16;2021-06-23;130
2021-07-16;2021-06-23;130
2021-07-16;2021-06-23;134
2021-07-16;2021-06-23;137
2021-07-16;2021-06-23;139
2021-07-16;2021-06-23;144
2021-07-16;2021-06-23;144
2021-07-16;2021-06-23;150
2021-07-16;2021-06-23;150
2021-07-16;2021-06-23;150
2021-07-16;2021-06-23;155
2021-07-16;2021-06-23;155
2021-07-16;2021-06-23;160
2021-07-16;2021-06-23;160
2021-07-16;2021-06-23;160
2021-07-16;2021-06-28;99
2021-07-16;2021-06-28;100
2021-07-16;2021-06-28;100
2021-07-16;2021-06-28;101
2021-07-16;2021-06-28;101
2021-07-16;2021-06-28;102
2021-07-16;2021-06-28;102
2021-07-16;2021-06-28;103
2021-07-16;2021-06-28;103
2021-07-16;2021-06-28;104
2021-07-16;2021-06-28;104
2021-07-16;2021-06-28;107
2021-07-16;2021-06-28;110
2021-07-16;2021-06-28;114
2021-07-16;2021-06-28;115
2021-07-16;2021-06-28;115
2021-07-16;2021-06-28;118
2021-07-16;2021-06-28;120
2021-07-16;2021-06-28;120
2021-07-16;2021-06-28;121
2021-07-16;2021-06-28;127
2021-07-16;2021-06-28;128
2021-07-16;2021-06-28;133
2021-07-16;2021-06-28;134
2021-07-16;2021-06-28;140
2021-07-16;2021-06-28;145
2021-07-16;2021-06-28;149
2021-07-16;2021-06-28;150
2021-07-16;2021-06-28;155
2021-07-16;2021-07-21;80
2021-07-16;2021-07-21;87
2021-07-16;2021-07-21;90
2021-07-16;2021-07-21;90
2021-07-16;2021-07-21;91
2021-07-16;2021-07-21;91
2021-07-16;2021-07-21;91
2021-07-16;2021-07-21;92
2021-07-16;2021-07-21;93
2021-07-16;2021-07-21;94
2021-07-16;2021-07-21;95
2021-07-16;2021-07-21;96
2021-07-16;2021-07-21;97
