zone_corecrabe.nom,region.nom,district.nom,commune.nom,village.nom,fiche_enqueteur.capture_poids,date_sortie_de_peche1,nombre_sortie_de_peche1,nombre_de_pirogue_sortie_de_peche1,nom_premier_engin1,nombre_premier_engin1,nom_deuxieme_engin1,nombre_deuxieme_engin1,crabe.sexe,crabe.taille
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,4,2021-09-13,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,NO,108
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,4,2021-09-28,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,NO,112
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,4,2021-09-13,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,NO,112
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,4,2021-09-16,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,NO,113
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,4,2021-09-16,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,NO,114
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,4,2021-09-28,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,NO,116
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,4,2021-09-16,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,NO,117
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,4,2021-09-13,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,NO,118
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,4,2021-09-29,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,NO,118
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,5,2021-09-20,1,1,"Balance (Garigary, Kiriry)",7,Non renseigné,0,M,89
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,5,2021-09-20,1,1,"Balance (Garigary, Kiriry)",7,Non renseigné,0,M,97
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,5,2021-09-20,1,1,"Balance (Garigary, Kiriry)",7,Non renseigné,0,M,99
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,5,2021-09-13,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,M,99
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,5,2021-09-29,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,M,99
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,5,2021-09-18,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,M,100
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,5,2021-09-20,1,1,"Balance (Garigary, Kiriry)",7,Non renseigné,0,M,100
