zone_corecrabe.nom;region.nom;district.nom;commune.nom;fokontany.nom;village.nom;fiche.date_expedition;fiche_enqueteur.date;fiche_enqueteur.participant_individu;fiche_enqueteur.participant_nombre;fiche_enqueteur.capture_poids;fiche_enqueteur.crabe_consomme_poids;fiche_enqueteur.crabe_consomme_nombre;fiche_enqueteur.collecte_poids1;fiche_enqueteur.collecte_prix1;fiche_enqueteur.collecte_poids2;fiche_enqueteur.collecte_prix2;fiche_enqueteur.marche_local_poids;fiche_enqueteur.marche_local_prix
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-02;2021-07-30;seul;0;4.5;0;0;4.5;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-02;2021-07-30;seul;0;4.5;0.5;2;4;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-02;2021-07-30;seul;0;4.5;0.5;4;4;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-02;2021-07-30;seul;0;5.5;0.5;4;5;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-02;2021-07-31;seul;0;2.5;0.5;2;2;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-02;2021-07-31;seul;0;3.5;0;0;3.5;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-06;2021-08-06;seul;0;5;0;0;5;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-06;2021-08-06;seul;0;7.5;1.5;8;6;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-07;2021-08-02;seul;0;2;0;0;2;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-07;2021-08-02;seul;0;4.5;0.5;3;4;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-07;2021-08-02;seul;0;5.5;0.5;3;5;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-07;2021-08-03;seul;0;1.5;0;0;1.5;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-07;2021-08-03;seul;0;2.5;1.5;7;1;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-07;2021-08-03;seul;0;4;0;0;4;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-07;2021-08-03;seul;0;11.5;1.5;9;10;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-07;2021-08-04;seul;0;1.5;0;0;1.5;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-07;2021-08-04;seul;0;1.5;0.5;1;1;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-07;2021-08-04;seul;0;5.5;1;5;4.5;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-07;2021-08-04;seul;0;6.5;1;6;5.5;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-07;2021-08-05;seul;0;2;0;0;2;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-07;2021-08-05;seul;0;4.5;0;0;4.5;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-07;2021-08-05;seul;0;5.5;0.5;4;5;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-07;2021-08-05;seul;0;7.5;0.5;3;7;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-07;2021-08-06;seul;0;1.5;0;0;1.5;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-07;2021-08-06;seul;0;4.5;0.5;3;4;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-09;2021-07-27;seul;0;5;0.5;4;4.5;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-09;2021-07-27;seul;0;6.5;0.5;4;6;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-12;2021-08-07;seul;0;4.5;0;;4.5;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-12;2021-08-07;seul;0;5;0.5;4;4.5;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-12;2021-08-07;seul;0;5;0.5;4;4.5;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-12;2021-08-07;seul;0;7;0.5;;6.5;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-12;2021-08-08;seul;0;2.5;0.5;3;2;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-12;2021-08-08;seul;0;2.5;0.5;3;2;2500;;;0;0
