zone_corecrabe.nom,region.nom,district.nom,commune.nom,fokontany.nom,village.nom,fiche.date_expedition,fiche_enqueteur.date,fiche_enqueteur.participant_individu,fiche_enqueteur.participant_nombre,fiche_enqueteur.capture_poids,fiche_enqueteur.crabe_consomme_poids,fiche_enqueteur.crabe_consomme_nombre,fiche_enqueteur.collecte_poids1,fiche_enqueteur.collecte_prix1,fiche_enqueteur.collecte_poids2,fiche_enqueteur.collecte_prix2,fiche_enqueteur.marche_local_poids,fiche_enqueteur.marche_local_prix,date_sortie_de_peche1,nombre_sortie_de_peche1,nombre_de_pirogue_sortie_de_peche1,nom_premier_engin1,nombre_premier_engin1,nom_deuxieme_engin1,nombre_deuxieme_engin1,date_sortie_de_peche2,nombre_sortie_de_peche2,nombre_de_pirogue_sortie_de_peche2,nom_premier_engin2,nombre_premier_engin2,nom_deuxieme_engin2,nombre_deuxieme_engin2,date_sortie_de_peche3,nombre_sortie_de_peche3,nombre_de_pirogue_sortie_de_peche3,nom_premier_engin3,nombre_premier_engin3,nom_deuxieme_engin3,nombre_deuxieme_engin3,date_sortie_de_peche4,nombre_sortie_de_peche4,nombre_de_pirogue_sortie_de_peche4,nom_premier_engin4,nombre_premier_engin4,nom_deuxieme_engin4,nombre_deuxieme_engin4,nombre_sortie_capture,echantillon.trie,echantillon.taille_absente,echantillon.taille_absente_autre,echantillon.poids,crabe.destination,crabe.sexe,crabe.taille
Ambanja,Diana, Ambanja,Antranokaràny,Ankotika,Ankotika,2021-06-12,2021-06-07,seul,0,4,0,,4,4000,,,0,0,2021-06-07,0,0,Non renseigné,0,Non renseigné,0,2021-06-06,2,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,2021-06-05,2,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,2021-06-04,0,0,Non renseigné,0,Non renseigné,0,2,true,plus petit,,4,1,FO,109
Ambanja,Diana, Ambanja,Antranokaràny,Ankotika,Ankotika,2021-06-12,2021-06-07,seul,0,4,0,,4,4000,,,0,0,2021-06-07,0,0,Non renseigné,0,Non renseigné,0,2021-06-06,2,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,2021-06-05,2,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,2021-06-04,0,0,Non renseigné,0,Non renseigné,0,2,true,plus petit,,4,1,FO,151
Ambanja,Diana, Ambanja,Antranokaràny,Ankotika,Ankotika,2021-06-12,2021-06-07,seul,0,4,0,,4,4000,,,0,0,2021-06-07,0,0,Non renseigné,0,Non renseigné,0,2021-06-06,2,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,2021-06-05,2,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,2021-06-04,0,0,Non renseigné,0,Non renseigné,0,2,true,plus petit,,4,1,M,91
Ambanja,Diana, Ambanja,Antranokaràny,Ankotika,Ankotika,2021-06-12,2021-06-07,seul,0,4,0,,4,4000,,,0,0,2021-06-07,0,0,Non renseigné,0,Non renseigné,0,2021-06-06,2,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,2021-06-05,2,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,2021-06-04,0,0,Non renseigné,0,Non renseigné,0,2,true,plus petit,,4,1,M,95
Ambanja,Diana, Ambanja,Antranokaràny,Ankotika,Ankotika,2021-06-12,2021-06-07,seul,0,4,0,,4,4000,,,0,0,2021-06-07,0,0,Non renseigné,0,Non renseigné,0,2021-06-06,2,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,2021-06-05,2,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,2021-06-04,0,0,Non renseigné,0,Non renseigné,0,2,true,plus petit,,4,1,M,100
Ambanja,Diana, Ambanja,Antranokaràny,Ankotika,Ankotika,2021-06-12,2021-06-07,seul,0,4,0,,4,4000,,,0,0,2021-06-07,0,0,Non renseigné,0,Non renseigné,0,2021-06-06,2,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,2021-06-05,2,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,2021-06-04,0,0,Non renseigné,0,Non renseigné,0,2,true,plus petit,,4,1,M,105
Ambanja,Diana, Ambanja,Antranokaràny,Ankotika,Ankotika,2021-06-12,2021-06-07,seul,0,4,0,,4,4000,,,0,0,2021-06-07,0,0,Non renseigné,0,Non renseigné,0,2021-06-06,2,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,2021-06-05,2,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,2021-06-04,0,0,Non renseigné,0,Non renseigné,0,2,true,plus petit,,4,1,M,108
Ambanja,Diana, Ambanja,Antranokaràny,Ankotika,Ankotika,2021-06-12,2021-06-07,seul,0,4,0,,4,4000,,,0,0,2021-06-07,0,0,Non renseigné,0,Non renseigné,0,2021-06-06,2,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,2021-06-05,2,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,2021-06-04,0,0,Non renseigné,0,Non renseigné,0,2,true,plus petit,,4,1,M,110
Ambanja,Diana, Ambanja,Antranokaràny,Ankotika,Ankotika,2021-06-12,2021-06-07,seul,0,4,0,,4,4000,,,0,0,2021-06-07,0,0,Non renseigné,0,Non renseigné,0,2021-06-06,2,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,2021-06-05,2,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,2021-06-04,0,0,Non renseigné,0,Non renseigné,0,2,true,plus petit,,4,1,M,111
Ambanja,Diana, Ambanja,Antranokaràny,Ankotika,Ankotika,2021-06-12,2021-06-07,seul,0,4,0,,4,4000,,,0,0,2021-06-07,0,0,Non renseigné,0,Non renseigné,0,2021-06-06,2,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,2021-06-05,2,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,2021-06-04,0,0,Non renseigné,0,Non renseigné,0,2,true,plus petit,,4,1,NO,106
