zone_corecrabe.nom,region.nom,district.nom,commune.nom,fokontany.nom,village.nom,fiche.date_expedition,fiche_enqueteur.date,fiche_enqueteur.participant_nombre,fiche_enqueteur.capture_poids,fiche_enqueteur.crabe_consomme_poids,fiche_enqueteur.collecte_poids1,nombre_sortie_capture,echantillon.trie,echantillon.taille_absente,echantillon.taille_absente_autre
Morombe,Atsimo andrefana,Morombe,Befandefa,Antaniloba II,Ankotapike ,,2021-05-19,0,8.5,1,2.5,1,false,plus petit,
Morombe,Atsimo andrefana,Morombe,Befandefa,Antaniloba II,Ankotapike ,,2021-05-19,0,11,1,2,1,false,plus petit,
Morombe,Atsimo andrefana,Morombe,Befandefa,Antaniloba II,Ankotapike ,,2021-05-20,0,3,0,1.5,1,false,plus gros,
Morombe,Atsimo andrefana,Morombe,Befandefa,Antaniloba II,Ankotapike ,,2021-05-20,0,4,1,2,1,false,plus petit,
Morombe,Atsimo andrefana,Morombe,Befandefa,Antaniloba II,Ankotapike ,,2021-05-20,0,6,1,3,1,false,plus petit,
Morombe,Atsimo andrefana,Morombe,Befandefa,Antaniloba II,Ankotapike ,,2021-05-20,0,8,0,2,1,false,plus gros,
Morombe,Atsimo andrefana,Morombe,Befandefa,Antaniloba II,Ankotapike ,,2021-05-20,0,8,0,6,4,false,plus gros,
Morombe,Atsimo andrefana,Morombe,Befandefa,Antaniloba II,Ankotapike ,,2021-05-25,0,1,0,1,1,false,plus gros,
Morombe,Atsimo andrefana,Morombe,Befandefa,Antaniloba II,Ankotapike ,,2021-05-25,0,2,0.5,1.5,1,false,plus petit,
Morombe,Atsimo andrefana,Morombe,Befandefa,Antaniloba II,Ankotapike ,,2021-05-25,0,3,0,3,1,false,plus gros,
Morombe,Atsimo andrefana,Morombe,Befandefa,Antaniloba II,Ankotapike ,,2021-05-25,0,9,2,7,1,false,plus petit,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-06-06,2021-06-21,0,4,1,3,1,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-06-27,2021-06-16,0,4.5,0.5,4,1,false,plus petit,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-06-27,2021-06-16,0,12,1,11,3,true,plus petit,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-06-27,2021-06-16,0,13.5,1.5,12,2,false,plus petit,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-06-27,2021-06-17,0,2.5,0.5,2,1,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-06-27,2021-06-17,0,4,1,3,1,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-06-27,2021-06-17,0,5,1,4,1,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-06-27,2021-06-17,0,7.5,1.5,6,1,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-06-27,2021-06-17,0,7.5,1.5,6,1,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-06-27,2021-06-18,0,4,1,3,1,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-06-27,2021-06-18,0,4,1,3,1,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-06-27,2021-06-18,0,9.5,1.5,8,1,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-06-27,2021-06-18,0,15.5,1.5,14,2,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-06-27,2021-06-19,0,5,1,4,1,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-06-27,2021-06-19,0,7.5,1.5,6,1,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-07-03,2021-06-21,0,5,0.5,4.5,1,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-07-03,2021-06-21,0,10,1,9,2,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-07-03,2021-06-22,0,3.25,0.25,3,1,false,plus gros,
