echantillon.trie,echantillon.taille_absente,echantillon.taille_absente_autre,echantillon.poids
false,plus gros,,5
false,plus gros,,5
false,plus gros,,5
false,plus gros,,5
false,plus gros,,5
false,plus gros,,5
false,plus gros,,5
false,plus gros,,5
false,plus gros,,5
false,plus gros,,5
false,plus gros,,5
false,plus gros,,5
false,plus gros,,5
false,plus gros,,5
false,plus gros,,5
false,plus gros,,5
false,plus gros,,5
false,plus gros,,5
false,plus gros,,5
false,plus gros,,5
false,plus gros,,5
false,plus gros,,5
false,plus gros,,5
false,plus gros,,5
false,plus gros,,5
false,plus gros,,5
false,plus gros,,5
false,plus gros,,5
false,plus gros,,5
false,plus gros,,5
false,plus gros,,5
false,plus gros,,5
false,plus gros,,5
false,plus gros,,5
false,plus gros,,5
false,plus gros,,5
false,plus gros,,5
false,plus gros,,5
false,plus gros,,5
false,plus gros,,5
false,plus gros,,5
false,plus gros,,5
false,plus gros,,5.25
false,plus gros,,5.25
false,plus gros,,5.5
false,plus gros,,5.5
false,plus gros,,5.5
false,plus gros,,5.5
false,plus gros,,5.5
false,plus gros,,5.5
false,plus gros,,5.5
false,plus gros,,5.5
false,plus gros,,5.5
false,plus gros,,5.5
false,plus gros,,5.5
false,plus gros,,5.5
false,plus gros,,5.5
false,plus gros,,5.5
false,plus gros,,5.5
false,plus gros,,5.5
false,plus gros,,5.5
false,plus gros,,5.5
false,plus gros,,5.5
false,plus gros,,5.5
false,plus gros,,5.5
false,plus gros,,5.5
false,plus gros,,5.5
false,plus gros,,5.5
false,plus gros,,5.5
false,plus gros,,5.5
false,plus gros,,5.5
false,plus gros,,5.5
false,plus gros,,5.5
false,plus gros,,5.5
false,plus gros,,5.5
false,plus gros,,5.5
false,plus gros,,5.5
false,plus gros,,5.5
false,plus gros,,5.5
false,plus gros,,5.5
false,plus gros,,5.5
false,plus gros,,5.5
false,plus gros,,5.5
false,plus gros,,5.5
false,plus gros,,5.5
false,plus gros,,5.5
false,plus gros,,5.7
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6
false,plus gros,,6.2
false,plus gros,,6.25
false,plus gros,,6.5
false,plus gros,,6.5
false,plus gros,,6.5
false,plus gros,,6.5
false,plus gros,,6.5
false,plus gros,,6.5
false,plus gros,,6.5
false,plus gros,,6.5
false,plus gros,,6.5
false,plus gros,,6.5
false,plus gros,,6.5
false,plus gros,,6.5
false,plus gros,,6.5
false,plus gros,,6.5
false,plus gros,,6.5
false,plus gros,,6.5
false,plus gros,,6.5
false,plus gros,,6.5
false,plus gros,,6.5
false,plus gros,,6.5
false,plus gros,,6.5
false,plus gros,,6.5
false,plus gros,,6.5
false,plus gros,,6.9
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7
false,plus gros,,7.25
false,plus gros,,7.5
false,plus gros,,7.5
false,plus gros,,7.5
false,plus gros,,7.5
false,plus gros,,7.5
false,plus gros,,7.5
false,plus gros,,7.5
false,plus gros,,7.5
false,plus gros,,7.5
false,plus gros,,7.5
false,plus gros,,7.5
false,plus gros,,7.5
false,plus gros,,7.5
false,plus gros,,7.5
false,plus gros,,7.5
false,plus gros,,7.5
false,plus gros,,7.5
false,plus gros,,7.5
false,plus gros,,7.5
false,plus gros,,7.5
false,plus gros,,7.5
false,plus gros,,7.5
false,plus gros,,7.5
false,plus gros,,7.5
false,plus gros,,7.5
false,plus gros,,7.5
false,plus gros,,7.5
false,plus gros,,7.5
false,plus gros,,7.5
false,plus gros,,7.75
false,plus gros,,7.9
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8
false,plus gros,,8.25
false,plus gros,,8.3
false,plus gros,,8.5
false,plus gros,,8.5
false,plus gros,,8.5
false,plus gros,,8.5
false,plus gros,,8.5
false,plus gros,,8.5
false,plus gros,,8.5
false,plus gros,,8.5
false,plus gros,,8.5
false,plus gros,,8.5
false,plus gros,,8.5
false,plus gros,,8.5
false,plus gros,,8.5
false,plus gros,,8.53
false,plus gros,,8.75
false,plus gros,,8.9
false,plus gros,,9
false,plus gros,,9
false,plus gros,,9
false,plus gros,,9
false,plus gros,,9
false,plus gros,,9
false,plus gros,,9
false,plus gros,,9
false,plus gros,,9
false,plus gros,,9
false,plus gros,,9
false,plus gros,,9
false,plus gros,,9
false,plus gros,,9
false,plus gros,,9
false,plus gros,,9
false,plus gros,,9
false,plus gros,,9
false,plus gros,,9
false,plus gros,,9
false,plus gros,,9
false,plus gros,,9
false,plus gros,,9
false,plus gros,,9
false,plus gros,,9
false,plus gros,,9
false,plus gros,,9
false,plus gros,,9
false,plus gros,,9
false,plus gros,,9
false,plus gros,,9
false,plus gros,,9
false,plus gros,,9
false,plus gros,,9
false,plus gros,,9
false,plus gros,,9
false,plus gros,,9
false,plus gros,,9
false,plus gros,,9
false,plus gros,,9
false,plus gros,,9
false,plus gros,,9
false,plus gros,,9.3
false,plus gros,,9.5
false,plus gros,,9.5
false,plus gros,,9.5
false,plus gros,,10
false,plus gros,,10
false,plus gros,,10
false,plus gros,,10
false,plus gros,,10
false,plus gros,,10
false,plus gros,,10
false,plus gros,,10
false,plus gros,,10
false,plus gros,,10
false,plus gros,,10
false,plus gros,,10
false,plus gros,,10
false,plus gros,,10
false,plus gros,,10
false,plus gros,,10
false,plus gros,,10
false,plus gros,,10
false,plus gros,,10
false,plus gros,,10
false,plus gros,,10
false,plus gros,,10
false,plus gros,,10
false,plus gros,,10
false,plus gros,,10
false,plus gros,,10
false,plus gros,,10
false,plus gros,,10
false,plus gros,,10
false,plus gros,,10
false,plus gros,,10
false,plus gros,,10
false,plus gros,,10
false,plus gros,,10
false,plus gros,,10
false,plus gros,,10
false,plus gros,,10
false,plus gros,,10
false,plus gros,,10
false,plus gros,,10
false,plus gros,,10
false,plus gros,,10
false,plus gros,,10
false,plus gros,,10
false,plus gros,,10
false,plus gros,,10
false,plus gros,,10.5
false,plus gros,,10.5
false,plus gros,,10.75
false,plus gros,,11
false,plus gros,,11
false,plus gros,,11
false,plus gros,,11
false,plus gros,,11
false,plus gros,,11
false,plus gros,,11
false,plus gros,,11
false,plus gros,,11
false,plus gros,,11
false,plus gros,,11
false,plus gros,,11
false,plus gros,,11
false,plus gros,,11
false,plus gros,,11
false,plus gros,,11
false,plus gros,,11
false,plus gros,,11
false,plus gros,,11
false,plus gros,,11
false,plus gros,,11
false,plus gros,,11
false,plus gros,,11
false,plus gros,,11
false,plus gros,,11
false,plus gros,,11
false,plus gros,,11
false,plus gros,,11
false,plus gros,,11
false,plus gros,,11
false,plus gros,,11
false,plus gros,,11
false,plus gros,,11
false,plus gros,,11.5
false,plus gros,,11.5
false,plus gros,,11.5
false,plus gros,,11.5
false,plus gros,,11.5
false,plus gros,,11.5
false,plus gros,,11.5
false,plus gros,,12
false,plus gros,,12
false,plus gros,,12
false,plus gros,,12
false,plus gros,,12
false,plus gros,,12
false,plus gros,,12
false,plus gros,,12
false,plus gros,,12
false,plus gros,,12
false,plus gros,,12
false,plus gros,,12
false,plus gros,,12
false,plus gros,,12
false,plus gros,,12
false,plus gros,,12
false,plus gros,,12
false,plus gros,,12
false,plus gros,,12
false,plus gros,,12
false,plus gros,,12
false,plus gros,,12
false,plus gros,,12
false,plus gros,,12
false,plus gros,,12
false,plus gros,,12
false,plus gros,,12
false,plus gros,,12
false,plus gros,,12
false,plus gros,,12
false,plus gros,,12
false,plus gros,,12
false,plus gros,,12
false,plus gros,,12
false,plus gros,,12
false,plus gros,,12
false,plus gros,,12
false,plus gros,,12.25
false,plus gros,,13
false,plus gros,,13
false,plus gros,,13
false,plus gros,,13
false,plus gros,,13
false,plus gros,,13
false,plus gros,,13
false,plus gros,,13
false,plus gros,,13
false,plus gros,,13
false,plus gros,,13
false,plus gros,,13
false,plus gros,,13
false,plus gros,,13
false,plus gros,,13
false,plus gros,,13
false,plus gros,,13
false,plus gros,,13
false,plus gros,,13
false,plus gros,,13
false,plus gros,,13
false,plus gros,,13
false,plus gros,,13
false,plus gros,,13
false,plus gros,,13
false,plus gros,,13
false,plus gros,,13
false,plus gros,,13
false,plus gros,,13
false,plus gros,,13
false,plus gros,,13
false,plus gros,,13
false,plus gros,,13
false,plus gros,,13.25
false,plus gros,,13.5
false,plus gros,,13.5
false,plus gros,,14
false,plus gros,,14
false,plus gros,,14
false,plus gros,,14
false,plus gros,,14
false,plus gros,,14
false,plus gros,,14
false,plus gros,,14
false,plus gros,,14
false,plus gros,,14
false,plus gros,,14
false,plus gros,,14
false,plus gros,,14
false,plus gros,,14
false,plus gros,,14
false,plus gros,,14
false,plus gros,,14
false,plus gros,,14
false,plus gros,,14
false,plus gros,,14
false,plus gros,,14
false,plus gros,,14.5
false,plus gros,,15
false,plus gros,,15
false,plus gros,,15
false,plus gros,,15
false,plus gros,,15
false,plus gros,,15
false,plus gros,,15
false,plus gros,,15
false,plus gros,,15
false,plus gros,,15
false,plus gros,,15
false,plus gros,,15
false,plus gros,,15
false,plus gros,,15
false,plus gros,,15
false,plus gros,,16
false,plus gros,,16
false,plus gros,,16
false,plus gros,,16.2
false,plus gros,,17
false,plus gros,,17
false,plus gros,,20
false,plus gros,,20
false,plus gros,,20
false,plus gros,,20
false,plus gros,,30
false,plus petit,,0
false,plus petit,,1
false,plus petit,,2
false,plus petit,,3
false,plus petit,,4
false,plus petit,,4
false,plus petit,,4.5
false,plus petit,,5
false,plus petit,,5
false,plus petit,,5
false,plus petit,,5
false,plus petit,,5.5
false,plus petit,,5.5
false,plus petit,,5.5
false,plus petit,,6
false,plus petit,,6
false,plus petit,,6
false,plus petit,,6
false,plus petit,,6.5
false,plus petit,,7
false,plus petit,,7
false,plus petit,,7
false,plus petit,,8
false,plus petit,,8
false,plus petit,,10
false,plus petit,,10
false,plus petit,,11
false,plus petit,,11
false,plus petit,,12
false,plus petit,,12
false,plus petit,,13
false,plus petit,,13
false,plus petit,,14
false,plus petit,,20
false,plus petit,,30
true,autre,misy,4
true,plus petit,,1
true,plus petit,,1
true,plus petit,,1
true,plus petit,,1
true,plus petit,,1
true,plus petit,,1.5
true,plus petit,,1.5
true,plus petit,,1.5
true,plus petit,,1.5
true,plus petit,,1.5
true,plus petit,,1.5
true,plus petit,,1.5
true,plus petit,,1.5
true,plus petit,,1.5
true,plus petit,,1.5
true,plus petit,,1.5
true,plus petit,,2
true,plus petit,,2
true,plus petit,,2
true,plus petit,,2.25
true,plus petit,,2.5
true,plus petit,,2.5
true,plus petit,,2.5
true,plus petit,,3
true,plus petit,,3.5
true,plus petit,,3.5
true,plus petit,,3.5
true,plus petit,,3.5
true,plus petit,,3.7
true,plus petit,,4
true,plus petit,,4
true,plus petit,,4
true,plus petit,,4
true,plus petit,,4
true,plus petit,,4
true,plus petit,,4
true,plus petit,,4
true,plus petit,,4.2
true,plus petit,,4.2
true,plus petit,,4.2
true,plus petit,,4.5
true,plus petit,,4.5
true,plus petit,,4.5
true,plus petit,,4.5
true,plus petit,,4.5
true,plus petit,,4.5
true,plus petit,,4.5
true,plus petit,,4.5
true,plus petit,,4.5
true,plus petit,,4.7
true,plus petit,,4.7
true,plus petit,,4.7
true,plus petit,,5
true,plus petit,,5
true,plus petit,,5
true,plus petit,,5
true,plus petit,,5
true,plus petit,,5
true,plus petit,,5
true,plus petit,,5
true,plus petit,,5
true,plus petit,,5
true,plus petit,,5
true,plus petit,,5
true,plus petit,,5
true,plus petit,,5
true,plus petit,,5.2
true,plus petit,,5.2
true,plus petit,,5.2
true,plus petit,,5.5
true,plus petit,,5.5
true,plus petit,,5.5
true,plus petit,,5.5
true,plus petit,,5.5
true,plus petit,,6
true,plus petit,,6
true,plus petit,,6
true,plus petit,,6
true,plus petit,,6
true,plus petit,,6
true,plus petit,,6
true,plus petit,,6
true,plus petit,,6
true,plus petit,,6
true,plus petit,,6
true,plus petit,,6
true,plus petit,,6
true,plus petit,,6
true,plus petit,,6
true,plus petit,,6
true,plus petit,,6
true,plus petit,,6
true,plus petit,,6
true,plus petit,,6.2
true,plus petit,,6.3
true,plus petit,,6.5
true,plus petit,,6.5
true,plus petit,,6.5
true,plus petit,,6.5
true,plus petit,,6.5
true,plus petit,,6.5
true,plus petit,,6.5
true,plus petit,,7
true,plus petit,,7
true,plus petit,,7
true,plus petit,,7
true,plus petit,,7
true,plus petit,,7
true,plus petit,,7
true,plus petit,,7
true,plus petit,,7
true,plus petit,,7.3
true,plus petit,,7.5
true,plus petit,,7.5
true,plus petit,,7.5
true,plus petit,,7.5
true,plus petit,,7.5
true,plus petit,,7.5
true,plus petit,,7.5
true,plus petit,,7.8
true,plus petit,,8
true,plus petit,,8
true,plus petit,,8
true,plus petit,,8
true,plus petit,,8
true,plus petit,,8
true,plus petit,,8
true,plus petit,,8
