village.nom;fiche.date_expedition;fiche_enqueteur.date;crabe.taille
Kaday;2021-08-11;2021-08-03;101
Kaday;2021-08-11;2021-08-03;101
Kaday;2021-08-11;2021-08-03;101
Kaday;2021-08-11;2021-08-03;102
Kaday;2021-08-11;2021-08-03;102
Kaday;2021-08-11;2021-08-03;102
Kaday;2021-08-11;2021-08-03;103
Kaday;2021-08-11;2021-08-03;103
Kaday;2021-08-11;2021-08-03;103
Kaday;2021-08-11;2021-08-03;104
Kaday;2021-08-11;2021-08-03;104
Kaday;2021-08-11;2021-08-03;104
Kaday;2021-08-11;2021-08-03;105
Kaday;2021-08-11;2021-08-03;105
Kaday;2021-08-11;2021-08-03;105
Kaday;2021-08-11;2021-08-03;106
Kaday;2021-08-11;2021-08-03;107
Kaday;2021-08-11;2021-08-03;108
Kaday;2021-08-11;2021-08-03;108
Kaday;2021-08-11;2021-08-03;108
Kaday;2021-08-11;2021-08-03;108
Kaday;2021-08-11;2021-08-03;109
Kaday;2021-08-11;2021-08-03;110
Kaday;2021-08-11;2021-08-03;110
Kaday;2021-08-11;2021-08-03;110
Kaday;2021-08-11;2021-08-03;111
Kaday;2021-08-11;2021-08-03;112
Kaday;2021-08-11;2021-08-03;113
Kaday;2021-08-11;2021-08-03;114
Kaday;2021-08-11;2021-08-03;115
Kaday;2021-08-11;2021-08-03;115
Kaday;2021-08-11;2021-08-03;115
Kaday;2021-08-11;2021-08-03;115
Kaday;2021-08-11;2021-08-03;116
Kaday;2021-08-11;2021-08-03;116
Kaday;2021-08-11;2021-08-03;117
Kaday;2021-08-11;2021-08-03;117
Kaday;2021-08-11;2021-08-03;118
Kaday;2021-08-11;2021-08-03;118
Kaday;2021-08-11;2021-08-03;118
Kaday;2021-08-11;2021-08-03;119
Kaday;2021-08-11;2021-08-03;120
Kaday;2021-08-11;2021-08-03;120
Kaday;2021-08-11;2021-08-03;120
Kaday;2021-08-11;2021-08-03;123
Kaday;2021-08-11;2021-08-03;130
Kaday;2021-08-11;2021-08-03;139
Kaday;2021-08-11;2021-08-03;144
Kaday;2021-08-11;2021-08-03;150
Kaday;2021-08-11;2021-08-04;99
Kaday;2021-08-11;2021-08-04;100
Kaday;2021-08-11;2021-08-04;100
Kaday;2021-08-11;2021-08-04;100
Kaday;2021-08-11;2021-08-04;101
Kaday;2021-08-11;2021-08-04;102
Kaday;2021-08-11;2021-08-04;102
Kaday;2021-08-11;2021-08-04;103
Kaday;2021-08-11;2021-08-04;103
Kaday;2021-08-11;2021-08-04;104
Kaday;2021-08-11;2021-08-04;105
Kaday;2021-08-11;2021-08-04;105
Kaday;2021-08-11;2021-08-04;105
Kaday;2021-08-11;2021-08-04;106
Kaday;2021-08-11;2021-08-04;107
