village.nom,fiche.date_expedition,fiche_enqueteur.date
Ambatoraikitra,2022-04-30,2022-04-26
Ambatoraikitra,2022-04-30,2022-04-26
Ambatoraikitra,2022-04-30,2022-04-26
Ambatoraikitra,2022-04-30,2022-04-26
Ambatoraikitra,2022-04-30,2022-04-26
Ambatoraikitra,2022-04-30,2022-04-26
Ambatoraikitra,2022-04-30,2022-04-26
Ambatoraikitra,2022-04-30,2022-04-26
Ambatoraikitra,2022-04-30,2022-04-27
Ambatoraikitra,2022-04-30,2022-04-27
Ambatoraikitra,2022-04-30,2022-04-27
Ambatoraikitra,2022-04-30,2022-04-27
Ambatoraikitra,2022-04-30,2022-04-27
Ambatoraikitra,2022-04-30,2022-04-27
Ambatoraikitra,2022-04-30,2022-04-27
Ambatoraikitra,2022-04-30,2022-04-27
Ambatoraikitra,2022-05-30,2022-05-29
Ambatoraikitra,2022-05-30,2022-05-29
Ambatoraikitra,2022-05-30,2022-06-06
Ambatoraikitra,2022-05-30,2022-06-06
Ambatoraikitra,2022-05-31,2022-05-01
Ambatoraikitra,2022-05-31,2022-05-01
Ambatoraikitra,2022-05-31,2022-05-01
Ambatoraikitra,2022-05-31,2022-05-01
Ambatoraikitra,2022-05-31,2022-05-01
Ambatoraikitra,2022-05-31,2022-05-01
Ambatoraikitra,2022-05-31,2022-05-02
Ambatoraikitra,2022-05-31,2022-05-02
Ambatoraikitra,2022-05-31,2022-05-02
Ambatoraikitra,2022-05-31,2022-05-02
Ambatoraikitra,2022-05-31,2022-05-02
Ambatoraikitra,2022-05-31,2022-05-02
Ambatoraikitra,2022-05-31,2022-05-03
Ambatoraikitra,2022-05-31,2022-05-03
Ambatoraikitra,2022-05-31,2022-05-03
Ambatoraikitra,2022-05-31,2022-05-03
Ambatoraikitra,2022-05-31,2022-05-07
Ambatoraikitra,2022-05-31,2022-05-07
Ambatoraikitra,2022-05-31,2022-05-07
Ambatoraikitra,2022-05-31,2022-05-07
Ambatoraikitra,2022-05-31,2022-05-07
Ambatoraikitra,2022-05-31,2022-05-07
Ambatoraikitra,2022-05-31,2022-05-07
Ambatoraikitra,2022-05-31,2022-05-07
Ambatoraikitra,2022-05-31,2022-05-07
Ambatoraikitra,2022-05-31,2022-05-07
Ambatoraikitra,2022-05-31,2022-05-08
Ambatoraikitra,2022-05-31,2022-05-08
Ambatoraikitra,2022-05-31,2022-05-08
Ambatoraikitra,2022-05-31,2022-05-08
Ambatoraikitra,2022-05-31,2022-05-14
Ambatoraikitra,2022-05-31,2022-05-14
Ambatoraikitra,2022-05-31,2022-05-14
Ambatoraikitra,2022-05-31,2022-05-14
Ambatoraikitra,2022-05-31,2022-05-14
Ambatoraikitra,2022-05-31,2022-05-14
Ambatoraikitra,2022-05-31,2022-05-14
Ambatoraikitra,2022-05-31,2022-05-14
Ambatoraikitra,2022-05-31,2022-05-14
Ambatoraikitra,2022-05-31,2022-05-14
Ambatoraikitra,2022-05-31,2022-05-14
Ambatoraikitra,2022-05-31,2022-05-14
Ambatoraikitra,2022-05-31,2022-05-15
Ambatoraikitra,2022-05-31,2022-05-15
Ambatoraikitra,2022-05-31,2022-05-15
Ambatoraikitra,2022-05-31,2022-05-15
Ambatoraikitra,2022-05-31,2022-05-18
Ambatoraikitra,2022-05-31,2022-05-18
Ambatoraikitra,2022-05-31,2022-05-18
Ambatoraikitra,2022-05-31,2022-05-18
Ambatoraikitra,2022-05-31,2022-05-18
Ambatoraikitra,2022-05-31,2022-05-18
Ambatoraikitra,2022-05-31,2022-05-19
Ambatoraikitra,2022-05-31,2022-05-19
Ambatoraikitra,2022-05-31,2022-05-19
Ambatoraikitra,2022-05-31,2022-05-19
Ambatoraikitra,2022-05-31,2022-05-19
Ambatoraikitra,2022-05-31,2022-05-19
Ambatoraikitra,2022-05-31,2022-05-19
Ambatoraikitra,2022-05-31,2022-05-19
Ambatoraikitra,2022-05-31,2022-05-19
Ambatoraikitra,2022-05-31,2022-05-19
Ambatoraikitra,2022-05-31,2022-05-28
Ambatoraikitra,2022-05-31,2022-05-28
Ambatoraikitra,2022-05-31,2022-05-28
Ambatoraikitra,2022-05-31,2022-05-28
Ambatoraikitra,2022-05-31,2022-05-28
Ambatoraikitra,2022-05-31,2022-05-28
Ambatoraikitra,2022-05-31,2022-05-28
Ambatoraikitra,2022-05-31,2022-05-28
Ambatoraikitra,2022-05-31,2022-05-29
Ambatoraikitra,2022-05-31,2022-05-29
Ambatoraikitra,2022-05-31,2022-05-29
Ambatoraikitra,2022-05-31,2022-05-29
Ambatoraikitra,2022-05-31,2022-06-28
Ambatoraikitra,2022-05-31,2022-06-28
Ambatoraikitra,2022-05-31,2022-06-29
Ambatoraikitra,2022-05-31,2022-06-29
Ambatoraikitra,2022-06-30,2022-06-06
Ambatoraikitra,2022-06-30,2022-06-06
Ambatoraikitra,2022-06-30,2022-06-06
Ambatoraikitra,2022-06-30,2022-06-06
Ambatoraikitra,2022-06-30,2022-06-06
Ambatoraikitra,2022-06-30,2022-06-06
Ambatoraikitra,2022-06-30,2022-06-07
Ambatoraikitra,2022-06-30,2022-06-07
Ambatoraikitra,2022-06-30,2022-06-07
Ambatoraikitra,2022-06-30,2022-06-07
Ambatoraikitra,2022-06-30,2022-06-07
Ambatoraikitra,2022-06-30,2022-06-07
Ambatoraikitra,2022-06-30,2022-06-07
Ambatoraikitra,2022-06-30,2022-06-07
Ambatoraikitra,2022-06-30,2022-06-15
Ambatoraikitra,2022-06-30,2022-06-15
Ambatoraikitra,2022-06-30,2022-06-15
Ambatoraikitra,2022-06-30,2022-06-15
Ambatoraikitra,2022-06-30,2022-06-15
Ambatoraikitra,2022-06-30,2022-06-15
Ambatoraikitra,2022-06-30,2022-06-15
Ambatoraikitra,,2022-06-28
Ambatoraikitra,,2022-06-28
Ambondro,2022-04-30,2022-04-25
Ambondro,2022-04-30,2022-04-25
Ambondro,2022-04-30,2022-04-25
Ambondro,2022-04-30,2022-04-25
Ambondro,2022-04-30,2022-04-25
Ambondro,2022-04-30,2022-04-25
Ambondro,2022-04-30,2022-04-26
Ambondro,2022-04-30,2022-04-26
Ambondro,2022-04-30,2022-04-26
Ambondro,2022-04-30,2022-04-26
Ambondro,2022-04-30,2022-04-26
Ambondro,2022-04-30,2022-04-26
Ambondro,2022-04-30,2022-04-27
Ambondro,2022-04-30,2022-04-27
Ambondro,2022-04-30,2022-04-27
Ambondro,2022-04-30,2022-04-27
Ambondro,2022-04-30,2022-04-28
Ambondro,2022-04-30,2022-04-28
Ambondro,2022-04-30,2022-04-28
Ambondro,2022-04-30,2022-04-28
Ambondro,2022-04-30,2022-05-01
Ambondro,2022-04-30,2022-05-01
Ambondro,2022-05-30,2022-05-16
Ambondro,2022-05-30,2022-05-16
Ambondro,2022-05-31,2022-05-02
Ambondro,2022-05-31,2022-05-02
Ambondro,2022-05-31,2022-05-03
Ambondro,2022-05-31,2022-05-03
Ambondro,2022-05-31,2022-05-03
Ambondro,2022-05-31,2022-05-03
Ambondro,2022-05-31,2022-05-04
Ambondro,2022-05-31,2022-05-04
