village.nom,fiche.date_expedition,fiche_acheteur.date
Ambolikapiky,2022-07-31,2022-07-17
Ambolikapiky,2022-07-31,2022-07-20
Ambolikapiky,2022-07-31,2022-07-20
Ambolikapiky,2022-07-31,2022-07-20
Ambolikapiky,2022-07-31,2022-07-20
Ambolikapiky,2022-07-31,2022-07-20
Ambolikapiky,2022-07-31,2022-07-23
Ambolikapiky,2022-07-31,2022-07-23
Ambolikapiky,2022-07-31,2022-07-23
Ambolikapiky,2022-07-31,2022-07-23
Ambolikapiky,2022-07-31,2022-07-23
Ambolikapiky,2022-07-31,2022-07-26
Ambolikapiky,2022-07-31,2022-07-26
Ambolikapiky,2022-07-31,2022-07-26
Ambolikapiky,2022-07-31,2022-07-26
Ambolikapiky,2022-07-31,2022-07-26
Ambolikapiky,2022-07-31,2022-07-29
Ambolikapiky,2022-07-31,2022-07-29
Ambolikapiky,2022-07-31,2022-07-29
Ambolikapiky,2022-07-31,2022-07-29
Ambolikapiky,2022-07-31,2022-07-29
Ambolikapiky,2022-08-31,2022-08-01
Ambolikapiky,2022-08-31,2022-08-01
Ambolikapiky,2022-08-31,2022-08-01
Ambolikapiky,2022-08-31,2022-08-01
Ambolikapiky,2022-08-31,2022-08-04
Ambolikapiky,2022-08-31,2022-08-04
Ambolikapiky,2022-08-31,2022-08-04
Ambolikapiky,2022-08-31,2022-08-04
Ambolikapiky,2022-08-31,2022-08-04
Ampitsopitsoka,2022-06-30,2022-06-04
Ampitsopitsoka,2022-06-30,2022-06-04
Ampitsopitsoka,2022-06-30,2022-06-04
Ampitsopitsoka,2022-06-30,2022-06-04
Ampitsopitsoka,2022-06-30,2022-06-04
Ampitsopitsoka,2022-06-30,2022-06-05
Ampitsopitsoka,2022-06-30,2022-06-05
Ampitsopitsoka,2022-06-30,2022-06-05
Ampitsopitsoka,2022-06-30,2022-06-05
Ampitsopitsoka,2022-06-30,2022-06-05
Ampitsopitsoka,2022-06-30,2022-06-11
Ampitsopitsoka,2022-06-30,2022-06-11
Ampitsopitsoka,2022-06-30,2022-06-11
Ampitsopitsoka,2022-06-30,2022-06-11
Ampitsopitsoka,2022-06-30,2022-06-11
Ampitsopitsoka,2022-06-30,2022-06-12
Ampitsopitsoka,2022-06-30,2022-06-12
Ampitsopitsoka,2022-06-30,2022-06-12
Ampitsopitsoka,2022-06-30,2022-06-12
Ampitsopitsoka,2022-06-30,2022-06-12
Ampitsopitsoka,2022-06-30,2022-06-18
Ampitsopitsoka,2022-06-30,2022-06-18
Ampitsopitsoka,2022-06-30,2022-06-18
Ampitsopitsoka,2022-06-30,2022-06-18
Ampitsopitsoka,2022-06-30,2022-06-18
Ampitsopitsoka,2022-06-30,2022-06-19
Ampitsopitsoka,2022-06-30,2022-06-19
Ampitsopitsoka,2022-06-30,2022-06-19
Ampitsopitsoka,2022-06-30,2022-06-19
Ampitsopitsoka,2022-06-30,2022-06-19
Ampitsopitsoka,2022-07-31,2022-07-07
Ampitsopitsoka,2022-07-31,2022-07-09
Ampitsopitsoka,2022-07-31,2022-07-09
Ampitsopitsoka,2022-07-31,2022-07-09
Ampitsopitsoka,2022-07-31,2022-07-09
Ampitsopitsoka,2022-07-31,2022-07-10
Ampitsopitsoka,2022-07-31,2022-07-10
Ampitsopitsoka,2022-07-31,2022-07-10
Ampitsopitsoka,2022-07-31,2022-07-10
Ampitsopitsoka,2022-07-31,2022-07-10
Ampitsopitsoka,2022-07-31,2022-07-16
Ampitsopitsoka,2022-07-31,2022-07-16
Ampitsopitsoka,2022-07-31,2022-07-16
Ampitsopitsoka,2022-07-31,2022-07-16
Ampitsopitsoka,2022-07-31,2022-07-16
Ampitsopitsoka,2022-07-31,2022-07-16
Ampitsopitsoka,2022-07-31,2022-07-17
Ampitsopitsoka,2022-07-31,2022-07-17
Ampitsopitsoka,2022-07-31,2022-07-17
Ampitsopitsoka,2022-07-31,2022-07-17
Ampitsopitsoka,2022-07-31,2022-07-17
Ampitsopitsoka,2022-07-31,2022-07-17
Ampitsopitsoka,2022-07-31,2022-07-23
Ampitsopitsoka,2022-07-31,2022-07-23
Ampitsopitsoka,2022-07-31,2022-07-23
Ampitsopitsoka,2022-07-31,2022-07-23
Ampitsopitsoka,2022-07-31,2022-07-24
Ampitsopitsoka,2022-07-31,2022-07-24
Ampitsopitsoka,2022-07-31,2022-07-24
Ampitsopitsoka,2022-07-31,2022-07-24
Ampitsopitsoka,2022-07-31,2022-07-24
Ampitsopitsoka,2022-07-31,2022-07-29
Ampitsopitsoka,2022-07-31,2022-07-29
Ampitsopitsoka,2022-07-31,2022-07-29
Ampitsopitsoka,2022-07-31,2022-07-29
Ampitsopitsoka,2022-07-31,2022-07-29
Ampitsopitsoka,2022-07-31,2022-07-30
Ampitsopitsoka,2022-07-31,2022-07-30
Ampitsopitsoka,2022-07-31,2022-07-30
Ampitsopitsoka,2022-07-31,2022-07-30
Ampitsopitsoka,2022-07-31,2022-07-30
Andranopasy,,2022-06-06
Andranopasy,,2022-06-06
Andranopasy,,2022-06-06
Andranopasy,,2022-06-06
Andranopasy,,2022-06-06
Andranopasy,,2022-06-07
Andranopasy,,2022-06-07
Andranopasy,,2022-06-07
Andranopasy,,2022-06-07
Andranopasy,,2022-06-07
Andranopasy,,2022-06-13
Andranopasy,,2022-06-13
Andranopasy,,2022-06-13
Andranopasy,,2022-06-13
Andranopasy,,2022-06-13
Andranopasy,,2022-06-14
Andranopasy,,2022-06-14
Andranopasy,,2022-06-14
Andranopasy,,2022-06-14
Andranopasy,,2022-06-14
Andranopasy,,2022-06-19
Andranopasy,,2022-06-19
Andranopasy,,2022-06-19
Andranopasy,,2022-06-19
Andranopasy,,2022-06-19
Andranopasy,,2022-06-20
Andranopasy,,2022-06-20
Andranopasy,,2022-06-20
Andranopasy,,2022-06-20
Andranopasy,,2022-06-20
Andranopasy,,2022-06-27
Andranopasy,,2022-06-27
Andranopasy,,2022-06-27
Andranopasy,,2022-06-27
Andranopasy,,2022-06-27
Andranopasy,,2022-06-28
Andranopasy,,2022-06-28
Andranopasy,,2022-06-28
Andranopasy,,2022-06-28
Andranopasy,,2022-06-28
Andranopasy,,2022-07-04
Andranopasy,,2022-07-04
Andranopasy,,2022-07-04
Andranopasy,,2022-07-04
Andranopasy,,2022-07-04
Andranopasy,,2022-07-05
Andranopasy,,2022-07-05
Andranopasy,,2022-07-05
Andranopasy,,2022-07-05
Andranopasy,,2022-07-05
Andranopasy,,2022-07-11
Andranopasy,,2022-07-11
Andranopasy,,2022-07-11
Andranopasy,,2022-07-11
Andranopasy,,2022-07-11
Andranopasy,,2022-07-12
Andranopasy,,2022-07-12
Andranopasy,,2022-07-12
Andranopasy,,2022-07-12
Andranopasy,,2022-07-12
Ankazomahity,2022-07-31,2022-07-02
Ankazomahity,2022-07-31,2022-07-02
Ankazomahity,2022-07-31,2022-07-03
Ankazomahity,2022-07-31,2022-07-03
Ankazomahity,2022-07-31,2022-07-04
Ankazomahity,2022-07-31,2022-07-05
Ankazomahity,2022-07-31,2022-07-05
Ankazomahity,2022-07-31,2022-07-07
Ankazomahity,2022-07-31,2022-07-07
Ankazomahity,2022-07-31,2022-07-07
Ankazomahity,2022-07-31,2022-07-09
Ankazomahity,2022-07-31,2022-07-09
Ankazomahity,2022-07-31,2022-07-09
Ankazomahity,2022-07-31,2022-07-10
Ankazomahity,2022-07-31,2022-07-10
Ankazomahity,2022-07-31,2022-07-12
Ankazomahity,2022-07-31,2022-07-13
Ankazomahity,2022-07-31,2022-07-14
Ankazomahity,2022-07-31,2022-07-14
Ankazomahity,2022-07-31,2022-07-15
Ankazomahity,2022-07-31,2022-07-16
Ankazomahity,2022-07-31,2022-07-17
Ankazomahity,2022-07-31,2022-07-18
Ankazomahity,2022-07-31,2022-07-18
Ankazomahity,2022-07-31,2022-07-19
Ankazomahity,2022-07-31,2022-07-20
Ankazomahity,2022-07-31,2022-07-20
Ankazomahity,2022-07-31,2022-07-21
Ankazomahity,2022-07-31,2022-07-22
Ankazomahity,2022-07-31,2022-07-23
Ankazomahity,2022-07-31,2022-07-24
Ankazomahity,2022-07-31,2022-07-25
Ankazomahity,2022-07-31,2022-07-26
Ankazomahity,2022-07-31,2022-07-26
Ankazomahity,2022-07-31,2022-07-27
Ankazomahity,2022-07-31,2022-07-28
Ankazomahity,2022-07-31,2022-07-29
Ankazomahity,2022-07-31,2022-07-29
Ankazomahity,2022-07-31,2022-07-30
Ankazomahity,2022-07-31,2022-07-31
Ankilifaly,2022-08-01,2022-07-01
Ankilifaly,2022-08-01,2022-07-26
Ankilifaly,2022-08-01,2022-07-26
Ankilifaly,2022-08-01,2022-07-26
Ankilifaly,2022-08-01,2022-07-26
Ankilifaly,2022-08-01,2022-07-26
Ankilifaly,2022-08-01,2022-07-26
Ankilifaly,2022-08-01,2022-07-26
Ankilifaly,2022-08-01,2022-07-26
Ankilifaly,2022-08-01,2022-07-26
Ankilifaly,2022-08-01,2022-07-26
Ankilifaly,2022-08-06,2022-07-25
Ankilifaly,2022-08-06,2022-07-25
Ankilifaly,2022-08-06,2022-07-25
Ankilifaly,,2022-07-05
Ankilifaly,,2022-07-05
Ankilifaly,,2022-07-05
Ankilifaly,,2022-07-05
Ankilifaly,,2022-07-05
Ankilifaly,,2022-07-06
Ankilifaly,,2022-07-06
Ankilifaly,,2022-07-06
Ankilifaly,,2022-07-06
Ankilifaly,,2022-07-06
Ankilifaly,,2022-07-11
Ankilifaly,,2022-07-11
Ankilifaly,,2022-07-11
Ankilifaly,,2022-07-11
Ankilifaly,,2022-07-12
Ankilifaly,,2022-07-12
Ankilifaly,,2022-07-12
Ankilifaly,,2022-07-12
Ankilifaly,,2022-07-12
Ankilifaly,,2022-07-18
Ankilifaly,,2022-07-18
Ankilifaly,,2022-07-18
Ankilifaly,,2022-07-18
Ankilifaly,,2022-07-18
Ankilifaly,,2022-07-18
Ankilifaly,,2022-07-19
Ankilifaly,,2022-07-19
Ankilifaly,,2022-07-19
Ankilifaly,,2022-07-19
Ankilifaly,,2022-07-19
Ankilifaly,,2022-08-01
Ankilifaly,,2022-08-01
Ankilifaly,,2022-08-01
Ankilifaly,,2022-08-01
Ankilifaly,,2022-08-01
Ankotapike,2022-06-20,2022-06-06
Ankotapike,2022-06-20,2022-06-06
Ankotapike,2022-06-20,2022-06-06
Ankotapike,2022-06-20,2022-06-06
Ankotapike,2022-06-20,2022-06-06
Ankotapike,2022-06-20,2022-06-07
Ankotapike,2022-06-20,2022-06-07
Ankotapike,2022-06-20,2022-06-07
Ankotapike,2022-06-20,2022-06-07
Ankotapike,2022-06-20,2022-06-07
Ankotapike,2022-06-20,2022-06-13
Ankotapike,2022-06-20,2022-06-13
Ankotapike,2022-06-20,2022-06-13
Ankotapike,2022-06-20,2022-06-13
Ankotapike,2022-06-20,2022-06-13
Ankotapike,2022-06-20,2022-06-14
Ankotapike,2022-06-20,2022-06-14
Ankotapike,2022-06-20,2022-06-14
Ankotapike,2022-06-20,2022-06-14
Ankotapike,2022-06-20,2022-06-14
Ankotapike,2022-06-25,2022-06-20
Ankotapike,2022-06-25,2022-06-20
Ankotapike,2022-06-25,2022-06-20
Ankotapike,2022-06-25,2022-06-20
Ankotapike,2022-06-25,2022-06-20
Ankotapike,2022-07-05,2022-07-04
Ankotapike,2022-07-05,2022-07-04
Ankotapike,2022-07-05,2022-07-04
Ankotapike,2022-07-05,2022-07-04
Ankotapike,2022-07-05,2022-07-04
Ankotapike,2022-07-05,2022-07-05
Ankotapike,2022-07-05,2022-07-05
Ankotapike,2022-07-05,2022-07-05
Ankotapike,2022-07-05,2022-07-05
Ankotapike,2022-07-05,2022-07-05
Ankotapike,2022-07-26,2022-07-19
Ankotapike,2022-07-26,2022-07-19
Ankotapike,2022-07-26,2022-07-19
Ankotapike,2022-07-26,2022-07-19
Ankotapike,2022-07-26,2022-07-19
Ankotapike,2022-07-26,2022-07-26
Ankotapike,2022-07-26,2022-07-26
Ankotapike,2022-07-26,2022-07-26
Ankotapike,2022-07-26,2022-07-26
Ankotapike,2022-07-26,2022-07-26
Ankotapike,,2022-06-21
Ankotapike,,2022-06-21
Ankotapike,,2022-06-21
Ankotapike,,2022-06-21
Ankotapike,,2022-06-21
Ankotapike,,2022-07-11
Ankotapike,,2022-07-11
Ankotapike,,2022-07-11
Ankotapike,,2022-07-11
Ankotapike,,2022-07-12
Ankotapike,,2022-07-12
Ankotapike,,2022-07-12
Ankotapike,,2022-07-12
Ankotapike,,2022-07-18
Ankotapike,,2022-07-18
Ankotapike,,2022-07-18
Ankotapike,,2022-07-18
Ankotapike,,2022-07-18
Ankotapike,,2022-07-25
Ankotapike,,2022-07-25
Ankotapike,,2022-07-25
Ankotapike,,2022-07-25
Ankotapike,,2022-07-25
Ankotika,2022-06-03,2022-06-02
Ankotika,2022-06-03,2022-06-03
Ankotika,2022-06-03,2022-06-03
Ankotika,2022-06-03,2022-06-03
Ankotika,2022-06-03,2022-06-03
Ankotika,2022-06-03,2022-06-03
Ankotika,2022-06-30,2022-06-01
Ankotika,2022-06-30,2022-06-01
Ankotika,2022-06-30,2022-06-01
Ankotika,2022-06-30,2022-06-01
Ankotika,2022-06-30,2022-06-01
Ankotika,2022-06-30,2022-06-02
Ankotika,2022-06-30,2022-06-02
Ankotika,2022-06-30,2022-06-02
Ankotika,2022-06-30,2022-06-02
Ankotika,2022-06-30,2022-06-02
Ankotika,2022-06-30,2022-06-02
Ankotika,2022-06-30,2022-06-02
Ankotika,2022-06-30,2022-06-02
Ankotika,2022-06-30,2022-06-02
Ankotika,2022-06-30,2022-06-04
Ankotika,2022-06-30,2022-06-04
Ankotika,2022-06-30,2022-06-04
Ankotika,2022-06-30,2022-06-04
Ankotika,2022-06-30,2022-06-04
Ankotika,2022-06-30,2022-06-04
Ankotika,2022-06-30,2022-06-04
Ankotika,2022-06-30,2022-06-04
Ankotika,2022-06-30,2022-06-04
Ankotika,2022-06-30,2022-06-04
Ankotika,2022-06-30,2022-06-04
Ankotika,2022-06-30,2022-06-04
Ankotika,2022-06-30,2022-06-04
Ankotika,2022-06-30,2022-06-04
Ankotika,2022-06-30,2022-06-05
Ankotika,2022-06-30,2022-06-05
Ankotika,2022-06-30,2022-06-05
Ankotika,2022-06-30,2022-06-05
Ankotika,2022-06-30,2022-06-05
Ankotika,2022-06-30,2022-06-05
Ankotika,2022-06-30,2022-06-05
Ankotika,2022-06-30,2022-06-05
Ankotika,2022-06-30,2022-06-05
Ankotika,2022-06-30,2022-06-06
Ankotika,2022-07-31,2022-07-01
Ankotika,2022-07-31,2022-07-01
Ankotika,2022-07-31,2022-07-01
Ankotika,2022-07-31,2022-07-02
Ankotika,2022-07-31,2022-07-02
Ankotika,2022-07-31,2022-07-16
Ankotika,2022-07-31,2022-07-16
Ankotika,2022-07-31,2022-07-16
Ankotika,2022-07-31,2022-07-16
Ankotika,2022-07-31,2022-07-16
Ankotika,2022-07-31,2022-07-17
Ankotika,2022-07-31,2022-07-17
Ankotika,2022-07-31,2022-07-18
Ankotika,2022-07-31,2022-07-18
Ankotika,2022-07-31,2022-07-18
Ankotika,2022-07-31,2022-07-18
Ankotika,2022-07-31,2022-07-18
Ankotika,2022-07-31,2022-07-18
Ankotika,2022-07-31,2022-07-18
Ankotika,2022-07-31,2022-07-19
Ankotika,2022-07-31,2022-07-19
Ankotika,2022-07-31,2022-07-20
Ankotika,2022-07-31,2022-07-20
Ankotika,2022-07-31,2022-07-20
Ankotika,2022-07-31,2022-07-22
Ankotika,2022-07-31,2022-07-22
Ankotika,2022-07-31,2022-07-22
Ankotika,2022-07-31,2022-07-23
Ankotika,2022-07-31,2022-07-23
Ankotika,2022-07-31,2022-07-28
Ankotika,2022-07-31,2022-07-28
Ankotika,2022-07-31,2022-07-28
Ankotika,2022-07-31,2022-07-28
Ankotika,2022-07-31,2022-07-29
Ankotika,2022-07-31,2022-07-29
Ankotika,2022-07-31,2022-07-29
Ankotika,2022-07-31,2022-07-29
Ankotika,2022-07-31,2022-07-30
Ankotika,2022-07-31,2022-07-30
Ankotika,2022-07-31,2022-07-30
Ankotika,2022-07-31,2022-07-30
Ankotika,2022-07-31,2022-07-30
Ankotika,2022-07-31,2022-07-30
Ankotika,2022-07-31,2022-07-31
Ankotika,2022-07-31,2022-07-31
Ankotika,2022-07-31,2022-07-31
Ankotika,2022-07-31,2022-07-31
Ankotika,2022-07-31,2022-07-31
