village.nom,fiche_enqueteur.date
Antsosa,2022-04-02
Antsosa,2022-04-02
Antsosa,2022-04-02
Antsosa,2022-04-02
Antsosa,2022-04-04
Antsosa,2022-04-04
Antsosa,2022-04-04
Antsosa,2022-04-04
Antsosa,2022-04-05
Antsosa,2022-04-05
Antsosa,2022-04-05
Antsosa,2022-04-05
Antsosa,2022-04-06
Antsosa,2022-04-06
Antsosa,2022-04-07
Antsosa,2022-04-07
Antsosa,2022-04-11
Antsosa,2022-04-11
Antsosa,2022-04-11
Antsosa,2022-04-11
Antsosa,2022-04-12
Antsosa,2022-04-12
Antsosa,2022-04-12
Antsosa,2022-04-12
Antsosa,2022-04-13
Antsosa,2022-04-13
Antsosa,2022-04-13
Antsosa,2022-04-13
Antsosa,2022-04-14
Antsosa,2022-04-14
Antsosa,2022-04-14
Antsosa,2022-04-14
Antsosa,2022-04-18
Antsosa,2022-04-18
Antsosa,2022-04-19
Antsosa,2022-04-19
Antsosa,2022-04-19
Antsosa,2022-04-19
Antsosa,2022-04-20
Antsosa,2022-04-20
Antsosa,2022-04-20
Antsosa,2022-04-20
Antsosa,2022-04-21
Antsosa,2022-04-21
Antsosa,2022-04-21
Antsosa,2022-04-21
Antsosa,2022-04-23
Antsosa,2022-04-23
Antsosa,2022-04-25
Antsosa,2022-04-25
Antsosa,2022-04-25
Antsosa,2022-04-25
Antsosa,2022-04-26
Antsosa,2022-04-26
Antsosa,2022-04-26
Antsosa,2022-04-26
Antsosa,2022-04-27
Antsosa,2022-04-27
Antsosa,2022-04-27
Antsosa,2022-04-27
Antsosa,2022-04-28
Antsosa,2022-04-28
Antsosa,2022-05-02
Antsosa,2022-05-02
Antsosa,2022-05-02
Antsosa,2022-05-02
Antsosa,2022-05-03
Antsosa,2022-05-03
Antsosa,2022-05-03
Antsosa,2022-05-03
Antsosa,2022-05-04
Antsosa,2022-05-04
Antsosa,2022-05-04
Antsosa,2022-05-04
Antsosa,2022-05-05
Antsosa,2022-05-05
Antsosa,2022-05-06
