zone_corecrabe.nom,village.nom,fiche.date_expedition,fiche_acheteur.date
Ambanja,Antsahampano,,2022-08-18
Ambanja,Antsahampano,,2022-08-20
Ambanja,Antsahampano,,2022-08-20
Ambanja,Antsahampano,,2022-08-20
Ambanja,Antsahampano,,2022-08-20
Ambanja,Antsahampano,,2022-08-20
Ambanja,Antsahampano,,2022-08-22
Ambanja,Antsahampano,,2022-08-22
Ambanja,Antsahampano,,2022-08-22
Ambanja,Antsahampano,,2022-08-22
Ambanja,Antsahampano,,2022-08-22
Ambanja,Antsahampano,,2022-08-26
Ambanja,Antsahampano,,2022-08-26
Ambanja,Antsahampano,,2022-08-26
Ambanja,Antsahampano,,2022-08-26
Ambanja,Antsahampano,,2022-08-26
Ambanja,Antsahampano,,2022-08-28
Ambanja,Antsahampano,,2022-08-28
Ambanja,Antsahampano,,2022-08-28
Ambanja,Antsahampano,,2022-08-28
Ambanja,Antsahampano,,2022-08-28
Ambanja,Antsatrana,,2022-08-08
Ambanja,Antsatrana,,2022-08-08
Ambanja,Antsatrana,,2022-08-08
Ambanja,Antsatrana,,2022-08-08
Ambanja,Antsatrana,,2022-08-08
Ambanja,Antsatrana,,2022-08-09
Ambanja,Antsatrana,,2022-08-09
Ambanja,Antsatrana,,2022-08-09
Ambanja,Antsatrana,,2022-08-09
Ambanja,Antsatrana,,2022-08-09
Ambanja,Antsatrana,,2022-08-10
Ambanja,Antsatrana,,2022-08-10
Ambanja,Antsatrana,,2022-08-10
Ambanja,Antsatrana,,2022-08-10
Ambanja,Antsatrana,,2022-08-10
Ambanja,Antsatrana,,2022-08-15
Ambanja,Antsatrana,,2022-08-15
Ambanja,Antsatrana,,2022-08-15
Ambanja,Antsatrana,,2022-08-15
Ambanja,Antsatrana,,2022-08-15
Ambanja,Antsatrana,,2022-08-16
Ambanja,Antsatrana,,2022-08-16
Ambanja,Antsatrana,,2022-08-16
Ambanja,Antsatrana,,2022-08-16
Ambanja,Antsatrana,,2022-08-16
Ambanja,Antsatrana,,2022-08-22
Ambanja,Antsatrana,,2022-08-22
Ambanja,Antsatrana,,2022-08-22
Ambanja,Antsatrana,,2022-08-22
Ambanja,Antsatrana,,2022-08-22
Ambanja,Antsatrana,,2022-08-24
Ambanja,Antsatrana,,2022-08-24
Ambanja,Antsatrana,,2022-08-24
Ambanja,Antsatrana,,2022-08-24
Ambanja,Antsatrana,,2022-08-24
Ambanja,Antsatrana,,2022-08-30
Ambanja,Antsatrana,,2022-08-30
Ambanja,Antsatrana,,2022-08-30
Ambanja,Antsatrana,,2022-08-30
Ambanja,Antsatrana,,2022-08-30
Mahajanga,Ampitsopitsoka,,2022-08-06
Mahajanga,Ampitsopitsoka,,2022-08-06
Mahajanga,Ampitsopitsoka,,2022-08-06
Mahajanga,Ampitsopitsoka,,2022-08-06
Mahajanga,Ampitsopitsoka,,2022-08-06
Mahajanga,Ampitsopitsoka,,2022-08-07
Mahajanga,Ampitsopitsoka,,2022-08-07
Mahajanga,Ampitsopitsoka,,2022-08-07
Mahajanga,Ampitsopitsoka,,2022-08-07
Mahajanga,Ampitsopitsoka,,2022-08-07
Mahajanga,Ampitsopitsoka,,2022-08-13
Mahajanga,Ampitsopitsoka,,2022-08-13
Mahajanga,Ampitsopitsoka,,2022-08-13
Mahajanga,Ampitsopitsoka,,2022-08-13
Mahajanga,Ampitsopitsoka,,2022-08-13
Mahajanga,Ampitsopitsoka,,2022-08-19
Mahajanga,Ampitsopitsoka,,2022-08-19
Mahajanga,Ampitsopitsoka,,2022-08-19
Mahajanga,Ampitsopitsoka,,2022-08-19
Mahajanga,Ampitsopitsoka,,2022-08-19
Mahajanga,Ampitsopitsoka,,2022-08-20
Mahajanga,Ampitsopitsoka,,2022-08-20
Mahajanga,Ampitsopitsoka,,2022-08-20
Mahajanga,Ampitsopitsoka,,2022-08-20
Mahajanga,Ampitsopitsoka,,2022-08-20
Mahajanga,Ampitsopitsoka,,2022-08-26
Mahajanga,Ampitsopitsoka,,2022-08-26
Mahajanga,Ampitsopitsoka,,2022-08-26
Mahajanga,Ampitsopitsoka,,2022-08-26
Mahajanga,Ampitsopitsoka,,2022-08-26
Mahajanga,Ampitsopitsoka,,2022-08-27
Mahajanga,Ampitsopitsoka,,2022-08-27
Mahajanga,Ampitsopitsoka,,2022-08-27
Mahajanga,Ampitsopitsoka,,2022-08-27
Mahajanga,Ampitsopitsoka,,2022-08-27
Mahajanga,Antsakoamanera,2022-08-31,2022-08-05
Mahajanga,Antsakoamanera,2022-08-31,2022-08-05
Mahajanga,Antsakoamanera,2022-08-31,2022-08-05
Mahajanga,Antsakoamanera,2022-08-31,2022-08-05
Mahajanga,Antsakoamanera,2022-08-31,2022-08-05
Mahajanga,Antsakoamanera,2022-08-31,2022-08-06
Mahajanga,Antsakoamanera,2022-08-31,2022-08-06
Mahajanga,Antsakoamanera,2022-08-31,2022-08-06
Mahajanga,Antsakoamanera,2022-08-31,2022-08-06
Mahajanga,Antsakoamanera,2022-08-31,2022-08-06
Mahajanga,Antsakoamanera,2022-08-31,2022-08-07
Mahajanga,Antsakoamanera,2022-08-31,2022-08-07
Mahajanga,Antsakoamanera,2022-08-31,2022-08-07
Mahajanga,Antsakoamanera,2022-08-31,2022-08-07
Mahajanga,Antsakoamanera,2022-08-31,2022-08-07
Mahajanga,Antsakoamanera,2022-08-31,2022-08-08
Mahajanga,Antsakoamanera,2022-08-31,2022-08-08
Mahajanga,Antsakoamanera,2022-08-31,2022-08-08
Mahajanga,Antsakoamanera,2022-08-31,2022-08-08
Mahajanga,Antsakoamanera,2022-08-31,2022-08-08
Mahajanga,Antsakoamanera,2022-08-31,2022-08-09
Mahajanga,Antsakoamanera,2022-08-31,2022-08-09
Mahajanga,Antsakoamanera,2022-08-31,2022-08-09
Mahajanga,Antsakoamanera,2022-08-31,2022-08-09
Mahajanga,Antsakoamanera,2022-08-31,2022-08-09
Mahajanga,Antsakoamanera,2022-08-31,2022-08-10
Mahajanga,Antsakoamanera,2022-08-31,2022-08-10
Mahajanga,Antsakoamanera,2022-08-31,2022-08-10
Mahajanga,Antsakoamanera,2022-08-31,2022-08-10
Mahajanga,Antsakoamanera,2022-08-31,2022-08-10
Mahajanga,Antsakoamanera,2022-08-31,2022-08-11
Mahajanga,Antsakoamanera,2022-08-31,2022-08-11
Mahajanga,Antsakoamanera,2022-08-31,2022-08-11
Mahajanga,Antsakoamanera,2022-08-31,2022-08-11
Mahajanga,Antsakoamanera,2022-08-31,2022-08-11
Mahajanga,Antsakoamanera,2022-08-31,2022-08-12
Mahajanga,Antsakoamanera,2022-08-31,2022-08-12
Mahajanga,Antsakoamanera,2022-08-31,2022-08-12
Mahajanga,Antsakoamanera,2022-08-31,2022-08-12
Mahajanga,Antsakoamanera,2022-08-31,2022-08-12
Mahajanga,Antsakoamanera,2022-08-31,2022-08-13
Mahajanga,Antsakoamanera,2022-08-31,2022-08-13
Mahajanga,Antsakoamanera,2022-08-31,2022-08-13
Mahajanga,Antsakoamanera,2022-08-31,2022-08-13
Mahajanga,Antsakoamanera,2022-08-31,2022-08-13
Mahajanga,Antsakoamanera,2022-08-31,2022-08-14
Mahajanga,Antsakoamanera,2022-08-31,2022-08-14
Mahajanga,Antsakoamanera,2022-08-31,2022-08-14
Mahajanga,Antsakoamanera,2022-08-31,2022-08-14
Mahajanga,Antsakoamanera,2022-08-31,2022-08-14
Mahajanga,Baly,,2022-08-03
Mahajanga,Baly,,2022-08-04
Mahajanga,Baly,,2022-08-04
Mahajanga,Baly,,2022-08-04
Mahajanga,Baly,,2022-08-04
Mahajanga,Baly,,2022-08-04
Mahajanga,Baly,,2022-08-05
Mahajanga,Baly,,2022-08-05
Mahajanga,Baly,,2022-08-05
Mahajanga,Baly,,2022-08-05
Mahajanga,Baly,,2022-08-07
Mahajanga,Baly,,2022-08-07
Mahajanga,Baly,,2022-08-07
Mahajanga,Baly,,2022-08-07
Mahajanga,Baly,,2022-08-07
Mahajanga,Baly,,2022-08-08
Mahajanga,Baly,,2022-08-08
Mahajanga,Baly,,2022-08-08
Mahajanga,Baly,,2022-08-08
Mahajanga,Baly,,2022-08-08
Mahajanga,Baly,,2022-08-08
Mahajanga,Baly,,2022-08-08
Mahajanga,Baly,,2022-08-08
Mahajanga,Baly,,2022-08-08
Mahajanga,Baly,,2022-08-08
Mahajanga,Baly,,2022-08-10
Mahajanga,Baly,,2022-08-10
Mahajanga,Baly,,2022-08-10
Mahajanga,Baly,,2022-08-10
Mahajanga,Baly,,2022-08-10
Mahajanga,Baly,,2022-08-11
Mahajanga,Baly,,2022-08-13
Mahajanga,Baly,,2022-08-13
Mahajanga,Baly,,2022-08-13
Mahajanga,Baly,,2022-08-13
Mahajanga,Baly,,2022-08-13
Mahajanga,Baly,,2022-08-14
Mahajanga,Baly,,2022-08-14
Mahajanga,Baly,,2022-08-14
Mahajanga,Baly,,2022-08-14
Mahajanga,Baly,,2022-08-18
Mahajanga,Baly,,2022-08-18
Mahajanga,Baly,,2022-08-18
Mahajanga,Baly,,2022-08-18
Mahajanga,Baly,,2022-08-18
Mahajanga,Baly,,2022-08-18
Mahajanga,Baly,,2022-08-18
Mahajanga,Baly,,2022-08-18
Mahajanga,Baly,,2022-08-18
Mahajanga,Baly,,2022-08-18
Mahajanga,Baly,,2022-08-18
Mahajanga,Baly,,2022-08-22
Mahajanga,Baly,,2022-08-22
Mahajanga,Baly,,2022-08-22
Mahajanga,Baly,,2022-08-22
Mahajanga,Baly,,2022-08-22
Mahajanga,Baly,,2022-08-24
Mahajanga,Baly,,2022-08-24
Mahajanga,Baly,,2022-08-24
Mahajanga,Baly,,2022-08-24
Mahajanga,Baly,,2022-08-24
Mahajanga,Baly,,2022-08-24
Mahajanga,Baly,,2022-08-24
Mahajanga,Baly,,2022-08-24
Mahajanga,Baly,,2022-08-24
Mahajanga,Baly,,2022-08-24
Mahajanga,Baly,,2022-08-26
Mahajanga,Baly,,2022-08-26
Mahajanga,Baly,,2022-08-26
Mahajanga,Baly,,2022-08-26
Mahajanga,Baly,,2022-08-26
Mahajanga,Baly,,2022-08-28
Mahajanga,Baly,,2022-08-28
Mahajanga,Baly,,2022-08-28
Mahajanga,Baly,,2022-08-28
Mahajanga,Baly,,2022-08-28
Mahajanga,Baly,,2022-08-29
Mahajanga,Baly,,2022-08-29
Mahajanga,Baly,,2022-08-29
Mahajanga,Baly,,2022-08-29
Mahajanga,Baly,,2022-08-29
Mahajanga,Baly,,2022-08-29
Mahajanga,Baly,,2022-08-29
Mahajanga,Baly,,2022-08-29
Mahajanga,Baly,,2022-08-29
Mahajanga,Baly,,2022-08-29
Mahajanga,Baly,,2022-08-30
Mahajanga,Baly,,2022-08-30
Mahajanga,Baly,,2022-08-30
Mahajanga,Baly,,2022-08-30
Mahajanga,Baly,,2022-08-30
Mahajanga,Baly,,2022-08-31
Mahajanga,Baly,,2022-08-31
Mahajanga,Baly,,2022-08-31
Mahajanga,Baly,,2022-08-31
Mahajanga,Baly,,2022-08-31
Mahajanga,Langany,2022-08-30,2022-08-03
Mahajanga,Langany,2022-08-30,2022-08-03
Mahajanga,Langany,2022-08-30,2022-08-03
Mahajanga,Langany,2022-08-30,2022-08-03
Mahajanga,Langany,2022-08-30,2022-08-03
Mahajanga,Langany,,2022-08-14
Mahajanga,Langany,,2022-08-14
Mahajanga,Langany,,2022-08-14
Mahajanga,Langany,,2022-08-14
Mahajanga,Langany,,2022-08-14
Mahajanga,Langany,,2022-08-24
Mahajanga,Langany,,2022-08-24
Mahajanga,Langany,,2022-08-24
Mahajanga,Langany,,2022-08-24
Mahajanga,Langany,,2022-08-24
Mahajanga,Langany,,2022-08-24
Mahajanga,Langany,,2022-08-24
Mahajanga,Langany,,2022-08-24
Mahajanga,Langany,,2022-08-24
Mahajanga,Langany,,2022-08-24
Mahajanga,Marotia,,2022-08-01
Mahajanga,Marotia,,2022-08-01
Mahajanga,Marotia,,2022-08-01
Mahajanga,Marotia,,2022-08-01
Mahajanga,Marotia,,2022-08-01
Mahajanga,Marotia,,2022-08-01
Mahajanga,Marotia,,2022-08-01
Mahajanga,Marotia,,2022-08-01
Mahajanga,Marotia,,2022-08-01
Mahajanga,Marotia,,2022-08-01
Mahajanga,Marotia,,2022-08-03
Mahajanga,Marotia,,2022-08-03
Mahajanga,Marotia,,2022-08-03
Mahajanga,Marotia,,2022-08-03
Mahajanga,Marotia,,2022-08-03
Mahajanga,Marotia,,2022-08-03
Mahajanga,Marotia,,2022-08-03
Mahajanga,Marotia,,2022-08-03
Mahajanga,Marotia,,2022-08-03
Mahajanga,Marotia,,2022-08-05
Mahajanga,Sambiravo,,2022-08-08
Mahajanga,Sambiravo,,2022-08-08
Mahajanga,Sambiravo,,2022-08-08
Mahajanga,Sambiravo,,2022-08-08
Mahajanga,Sambiravo,,2022-08-08
Mahajanga,Sambiravo,,2022-08-10
Mahajanga,Sambiravo,,2022-08-10
Mahajanga,Sambiravo,,2022-08-10
Mahajanga,Sambiravo,,2022-08-10
Mahajanga,Sambiravo,,2022-08-10
