zone_corecrabe.nom;region.nom;district.nom;commune.nom;fokontany.nom;village.nom;fiche_enqueteur.date;fiche_enqueteur.capture_poids;fiche_enqueteur.crabe_consomme_poids;fiche_enqueteur.crabe_consomme_nombre;fiche_enqueteur.collecte_poids1;fiche_enqueteur.collecte_prix1;fiche_enqueteur.collecte_poids2;fiche_enqueteur.collecte_prix2;fiche_enqueteur.marche_local_poids;fiche_enqueteur.marche_local_prix;date_sortie_de_peche1;nombre_sortie_de_peche1;nombre_de_pirogue_sortie_de_peche1;nom_premier_engin1;nombre_premier_engin1;nom_deuxieme_engin1;nombre_deuxieme_engin1;date_sortie_de_peche2;nombre_sortie_de_peche2;nombre_de_pirogue_sortie_de_peche2;nom_premier_engin2;nombre_premier_engin2;nom_deuxieme_engin2;nombre_deuxieme_engin2;date_sortie_de_peche3;nombre_sortie_de_peche3;nombre_de_pirogue_sortie_de_peche3;nom_premier_engin3;nombre_premier_engin3;nom_deuxieme_engin3;nombre_deuxieme_engin3;nombre_sortie_capture
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-08;4;0;0;2;4500;;;2;3000;2022-02-08;1;1;Balance_(Garigary,_Kiriry);4;;0;2022-02-07;1;1;Balance_(Garigary,_Kiriry);4;;0;2022-02-06;1;1;Balance_(Garigary,_Kiriry);4;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-08;5;0;0;2;4500;;;3;3000;2022-02-08;1;1;Balance_(Garigary,_Kiriry);3;;0;2022-02-07;0;0;;0;;0;2022-02-06;0;0;;0;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-09;1.4;0.4;3;1;4500;;;0;3000;2022-02-09;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-08;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-07;0;0;;0;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-09;2;0;0;1;4500;;;1;3000;2022-02-09;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-08;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-07;0;0;;0;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-09;2;0;0;2;4500;;;0;3000;2022-02-09;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-08;0;0;;0;;0;2022-02-07;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-09;3;0;0;2;4500;;;1;3000;2022-02-09;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-08;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-07;0;0;;0;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-10;1.7;0.7;6;1;4500;;;0;3000;2022-02-10;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-09;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-08;0;0;;0;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-10;2;0;0;1;4500;;;1;3000;2022-02-10;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-09;0;0;;0;;0;2022-02-08;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-10;2.4;0.4;3;1;4500;;;1;3000;2022-02-10;1;1;Balance_(Garigary,_Kiriry);3;;0;2022-02-09;0;0;;0;;0;2022-02-08;1;1;Balance_(Garigary,_Kiriry);3;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-10;3;0;0;2;4500;;;1;3000;2022-02-10;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-09;0;0;;0;;0;2022-02-08;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-10;3.6;0.6;5;2;4500;;;1;3000;2022-02-10;1;1;Balance_(Garigary,_Kiriry);4;;0;2022-02-09;0;0;;0;;0;2022-02-08;1;1;Balance_(Garigary,_Kiriry);4;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-10;4;0;0;1;4500;;;3;3000;2022-02-10;1;1;Balance_(Garigary,_Kiriry);4;;0;2022-02-09;1;1;Balance_(Garigary,_Kiriry);4;;0;2022-02-08;1;1;Balance_(Garigary,_Kiriry);4;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-11;1.5;0.5;4;1;4500;;;0;3000;2022-02-11;1;1;Balance_(Garigary,_Kiriry);4;;0;2022-02-10;0;0;;0;;0;2022-02-09;0;0;;0;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-11;2.2;0.2;2;1;4500;;;1;3000;2022-02-11;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-10;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-09;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-11;3;0;0;1;4500;;;2;3000;2022-02-11;1;1;Balance_(Garigary,_Kiriry);3;;0;2022-02-10;0;0;;0;;0;2022-02-09;0;0;;0;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-11;3;0;0;2;4500;;;1;3000;2022-02-11;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-10;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-09;0;0;;0;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-12;1;0;0;1;4500;;;0;3000;2022-02-12;1;1;Balance_(Garigary,_Kiriry);3;;0;2022-02-11;1;1;Balance_(Garigary,_Kiriry);3;;0;2022-02-10;1;1;Balance_(Garigary,_Kiriry);3;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-12;2.5;0.5;4;2;4500;;;0;3000;2022-02-12;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-11;0;0;;0;;0;2022-02-10;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-12;3;0;0;1;4500;;;2;3000;2022-02-12;1;1;Balance_(Garigary,_Kiriry);3;;0;2022-02-11;0;0;;0;;0;2022-02-10;1;1;Balance_(Garigary,_Kiriry);3;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-12;3.4;0.4;3;2;4500;;;1;3000;2022-02-12;1;1;Balance_(Garigary,_Kiriry);4;;0;2022-02-11;1;1;Balance_(Garigary,_Kiriry);4;;0;2022-02-10;0;0;;0;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-12;4;0;0;2;4500;;;2;3000;2022-02-12;1;1;Balance_(Garigary,_Kiriry);5;;0;2022-02-11;1;1;Balance_(Garigary,_Kiriry);5;;0;2022-02-10;0;0;;0;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-13;2;0;0;1;4500;;;1;3000;2022-02-13;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-12;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-11;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-13;2;0;0;2;4500;;;0;3000;2022-02-13;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-12;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-11;0;0;;0;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-13;2.5;0.5;4;2;4500;;;0;3000;2022-02-13;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-12;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-11;0;0;;0;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-15;2;0;0;1;4500;;;1;3000;2022-02-15;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-14;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-13;0;0;;0;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-15;3;0;0;2;4500;;;1;3000;2022-02-15;1;1;Balance_(Garigary,_Kiriry);3;;0;2022-02-14;0;0;;0;;0;2022-02-13;1;1;Balance_(Garigary,_Kiriry);3;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-16;2.2;0.2;3;2;4500;;;0;3000;2022-02-16;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-15;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-14;0;0;;0;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-16;2.5;0.5;4;1;4500;;;1;3000;2022-02-16;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-15;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-14;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-16;3;0;0;1;4500;;;2;3000;2022-02-16;1;1;Balance_(Garigary,_Kiriry);4;;0;2022-02-15;0;0;;0;;0;2022-02-14;0;0;;0;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-16;3;0;0;2;4500;;;1;3000;2022-02-16;1;1;Balance_(Garigary,_Kiriry);3;;0;2022-02-15;0;0;;0;;0;2022-02-14;0;0;;0;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-16;3;0;0;2;4500;;;1;3000;2022-02-16;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-15;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-14;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-16;4;0;0;2;4500;;;2;3000;2022-02-16;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-15;0;0;;0;;0;2022-02-14;0;0;;0;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-16;4;0;0;2;4500;;;2;3000;2022-02-16;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-15;0;0;;0;;0;2022-02-14;0;0;;0;;0;1
