village.nom;fiche.date_expedition;fiche_enqueteur.date
 Antsosa ;2021-08-21;2021-08-17
 Antsosa ;2021-08-21;2021-08-17
 Antsosa ;2021-08-21;2021-08-18
 Antsosa ;2021-08-21;2021-08-18
 Antsosa ;2021-08-21;2021-08-18
 Antsosa ;2021-08-21;2021-08-18
 Antsosa ;2021-08-21;2021-08-18
 Antsosa ;2021-08-21;2021-08-18
 Antsosa ;2021-08-21;2021-08-18
 Antsosa ;2021-08-21;2021-08-18
 Antsosa ;2021-08-21;2021-08-19
 Antsosa ;2021-08-21;2021-08-19
 Antsosa ;2021-08-21;2021-08-19
 Antsosa ;2021-08-21;2021-08-19
 Antsosa ;2021-08-21;2021-08-19
 Antsosa ;2021-08-21;2021-08-19
 Antsosa ;2021-08-21;2021-08-20
 Antsosa ;2021-08-21;2021-08-20
 Antsosa ;2021-08-21;2021-08-20
 Antsosa ;2021-08-21;2021-08-20
 Antsosa ;2021-08-21;2021-08-20
 Antsosa ;2021-08-21;2021-08-20
 Antsosa ;2021-08-21;2021-08-24
 Antsosa ;2021-08-21;2021-08-24
 Antsosa ;2021-08-21;2021-08-24
 Antsosa ;2021-08-21;2021-08-24
 Antsosa ;2021-08-21;2021-08-25
 Antsosa ;2021-08-21;2021-08-25
 Antsosa ;2021-09-01;2021-08-20
 Antsosa ;2021-09-01;2021-08-21
 Antsosa ;2021-09-01;2021-08-21
 Antsosa ;2021-09-01;2021-08-21
 Antsosa ;2021-09-01;2021-08-22
 Antsosa ;2021-09-01;2021-08-22
 Antsosa ;2021-09-01;2021-08-22
 Antsosa ;2021-09-01;2021-08-23
 Antsosa ;2021-09-01;2021-08-23
 Antsosa ;2021-09-01;2021-08-23
 Antsosa ;2021-09-01;2021-08-23
 Antsosa ;2021-09-01;2021-08-25
 Antsosa ;2021-09-01;2021-08-25
 Antsosa ;2021-09-01;2021-08-26
 Antsosa ;2021-09-01;2021-08-26
 Antsosa ;2021-09-01;2021-08-26
 Antsosa ;2021-09-01;2021-08-26
 Antsosa ;2021-09-01;2021-08-28
 Antsosa ;2021-09-08;2021-09-01
 Antsosa ;2021-09-08;2021-09-01
 Antsosa ;2021-09-08;2021-09-01
 Antsosa ;2021-09-08;2021-09-02
 Antsosa ;2021-09-08;2021-09-02
 Antsosa ;2021-09-08;2021-09-02
 Antsosa ;2021-09-08;2021-09-02
 Antsosa ;2021-09-08;2021-09-03
 Antsosa ;2021-09-08;2021-09-03
 Antsosa ;2021-09-08;2021-09-03
 Antsosa ;2021-09-08;2021-09-03
 Antsosa ;2021-09-08;2021-09-04
 Antsosa ;2021-09-08;2021-09-04
 Antsosa ;2021-09-08;2021-09-04
 Antsosa ;2021-09-08;2021-09-04
 Antsosa ;2021-09-08;2021-09-04
 Antsosa ;2021-09-08;2021-09-05
 Antsosa ;2021-09-08;2021-09-05
 Antsosa ;2021-09-08;2021-09-05
 Antsosa ;2021-09-21;2021-08-19
 Antsosa ;2021-09-21;2021-08-19
 Antsosa ;2021-09-22;2021-09-09
 Antsosa ;2021-09-22;2021-09-09
 Antsosa ;2021-09-22;2021-09-09
 Antsosa ;2021-09-22;2021-09-09
 Antsosa ;2021-09-22;2021-09-09
 Antsosa ;2021-09-22;2021-09-09
 Antsosa ;2021-09-22;2021-09-10
 Antsosa ;2021-09-22;2021-09-10
 Antsosa ;2021-09-22;2021-09-10
 Antsosa ;2021-09-22;2021-09-10
 Antsosa ;2021-09-22;2021-09-10
 Antsosa ;2021-09-22;2021-09-10
 Antsosa ;2021-09-22;2021-09-11
 Antsosa ;2021-09-22;2021-09-11
 Antsosa ;2021-09-22;2021-09-11
 Antsosa ;2021-09-22;2021-09-11
 Antsosa ;2021-09-22;2021-09-11
 Antsosa ;2021-09-22;2021-09-11
 Antsosa ;2021-09-22;2021-09-12
 Antsosa ;2021-09-22;2021-09-12
 Antsosa ;2021-09-22;2021-09-12
 Antsosa ;2021-09-22;2021-09-12
 Antsosa ;2021-09-22;2021-09-12
 Antsosa ;2021-09-22;2021-09-12
 Antsosa ;2021-09-22;2021-09-12
 Antsosa ;2021-09-22;2021-09-12
