zone_corecrabe.nom,village.nom,fiche.date_expedition,fiche_acheteur.date
Ambanja,Ambolikapiky,2021-09-30,2021-09-09
Ambanja,Ambolikapiky,2021-09-30,2021-09-09
Ambanja,Ambolikapiky,2021-09-30,2021-09-09
Ambanja,Ambolikapiky,2021-09-30,2021-09-09
Ambanja,Ambolikapiky,2021-09-30,2021-09-09
Ambanja,Ambolikapiky,2021-09-30,2021-09-09
Ambanja,Ambolikapiky,2021-09-30,2021-09-09
Ambanja,Ambolikapiky,2021-09-30,2021-09-09
Ambanja,Ambolikapiky,2021-09-30,2021-09-09
Ambanja,Ambolikapiky,2021-09-30,2021-09-09
Ambanja,Ambolikapiky,2021-09-30,2021-09-10
Ambanja,Ambolikapiky,2021-09-30,2021-09-10
Ambanja,Ambolikapiky,2021-09-30,2021-09-10
Ambanja,Ambolikapiky,2021-09-30,2021-09-10
Ambanja,Ambolikapiky,2021-09-30,2021-09-10
Ambanja,Ambolikapiky,2021-09-30,2021-09-10
Ambanja,Ambolikapiky,2021-09-30,2021-09-10
Ambanja,Ambolikapiky,2021-09-30,2021-09-10
Ambanja,Ambolikapiky,2021-09-30,2021-09-10
Ambanja,Ambolikapiky,2021-09-30,2021-09-10
Ambanja,Ambolikapiky,2021-09-30,2021-09-10
Ambanja,Ambolikapiky,2021-09-30,2021-09-10
Ambanja,Ambolikapiky,2021-09-30,2021-09-11
Ambanja,Ambolikapiky,2021-09-30,2021-09-11
Ambanja,Ambolikapiky,2021-09-30,2021-09-11
Ambanja,Ambolikapiky,2021-09-30,2021-09-11
Ambanja,Ambolikapiky,2021-09-30,2021-09-11
Ambanja,Ambolikapiky,2021-09-30,2021-09-11
Ambanja,Ambolikapiky,2021-09-30,2021-09-11
Ambanja,Ambolikapiky,2021-09-30,2021-09-11
Ambanja,Ambolikapiky,2021-09-30,2021-09-11
Ambanja,Ambolikapiky,2021-09-30,2021-09-11
Ambanja,Ambolikapiky,2021-09-30,2021-09-11
Ambanja,Ambolikapiky,2021-09-30,2021-09-11
Ambanja,Ambolikapiky,2021-09-30,2021-09-11
Ambanja,Ambolikapiky,2021-09-30,2021-09-12
Ambanja,Ambolikapiky,2021-09-30,2021-09-12
Ambanja,Ambolikapiky,2021-09-30,2021-09-12
Ambanja,Ambolikapiky,2021-09-30,2021-09-12
Ambanja,Ambolikapiky,2021-09-30,2021-09-12
Ambanja,Ambolikapiky,2021-09-30,2021-09-12
Ambanja,Ambolikapiky,2021-09-30,2021-09-12
Ambanja,Ambolikapiky,2021-09-30,2021-09-12
Ambanja,Ambolikapiky,2021-09-30,2021-09-12
Ambanja,Ambolikapiky,2021-09-30,2021-09-12
Ambanja,Ambolikapiky,2021-09-30,2021-09-13
Ambanja,Ambolikapiky,2021-09-30,2021-09-13
Ambanja,Ambolikapiky,2021-09-30,2021-09-13
Ambanja,Ambolikapiky,2021-09-30,2021-09-13
Ambanja,Ambolikapiky,2021-09-30,2021-09-13
Ambanja,Ambolikapiky,2021-09-30,2021-09-13
Ambanja,Ambolikapiky,2021-09-30,2021-09-13
Ambanja,Ambolikapiky,2021-09-30,2021-09-13
Ambanja,Ambolikapiky,2021-09-30,2021-09-13
Ambanja,Ambolikapiky,2021-09-30,2021-09-13
Ambanja,Ambolikapiky,2021-09-30,2021-09-13
Ambanja,Ambolikapiky,2021-09-30,2021-09-13
Ambanja,Ambolikapiky,2021-09-30,2021-09-13
Ambanja,Ambolikapiky,2021-09-30,2021-09-13
Ambanja,Ambolikapiky,2021-09-30,2021-09-14
Ambanja,Ambolikapiky,2021-09-30,2021-09-14
Ambanja,Ambolikapiky,2021-09-30,2021-09-14
Ambanja,Ambolikapiky,2021-09-30,2021-09-14
