zone_corecrabe.nom;region.nom;district.nom;commune.nom;fokontany.nom;village.nom;fiche_enqueteur.date;fiche_enqueteur.capture_poids;fiche_enqueteur.crabe_consomme_poids;fiche_enqueteur.collecte_poids1;fiche_enqueteur.collecte_prix1;fiche_enqueteur.collecte_poids2;fiche_enqueteur.collecte_prix2;fiche_enqueteur.marche_local_poids;fiche_enqueteur.marche_local_prix;date_sortie_de_peche1;nombre_sortie_de_peche1;nombre_de_pirogue_sortie_de_peche1;nom_premier_engin1;nombre_premier_engin1;nom_deuxieme_engin1;nombre_deuxieme_engin1;date_sortie_de_peche2;nombre_sortie_de_peche2;nombre_de_pirogue_sortie_de_peche2;nom_premier_engin2;nombre_premier_engin2;nom_deuxieme_engin2;nombre_deuxieme_engin2;date_sortie_de_peche3;nombre_sortie_de_peche3;nombre_de_pirogue_sortie_de_peche3;nom_premier_engin3;nombre_premier_engin3;nom_deuxieme_engin3;nombre_deuxieme_engin3;date_sortie_de_peche4;nombre_sortie_de_peche4;nombre_de_pirogue_sortie_de_peche4;nom_premier_engin4;nombre_premier_engin4;nom_deuxieme_engin4;nombre_deuxieme_engin4;nombre_sortie_capture
Ambanja;Diana; Ambanja;Antranokarany;Ankotika;Ankotika;2021-12-16;4.8;0;1.8;4000;;;3;2000;2021-12-16;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2021-12-15;0;0;;0;;0;2021-12-14;0;0;;0;;0;2021-12-13;0;0;;0;;0;1
Ambanja;Diana; Ambanja;Antranokarany;Ankotika;Ankotika;2021-12-17;2;0;2;4000;;;0;0;2021-12-17;1;0;Ligne_a_la_canne_(Vintana,_Vinta);1;;0;2021-12-16;0;0;;0;;0;2021-12-15;0;0;;0;;0;2021-12-14;0;0;;0;;0;1
Ambanja;Diana; Ambanja;Antranokarany;Ankotika;Ankotika;2021-12-17;5;0;3.5;4000;;;1.5;2000;2021-12-17;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2021-12-16;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2021-12-15;0;0;;0;;0;2021-12-14;0;0;;0;;0;1
