village.nom,fiche.date_expedition,fiche_enqueteur.date
Ampitsopitsoka,2022-06-30,2022-06-02
Ampitsopitsoka,2022-06-30,2022-06-02
Ampitsopitsoka,2022-06-30,2022-06-03
Ampitsopitsoka,2022-06-30,2022-06-03
Ampitsopitsoka,2022-06-30,2022-06-03
Ampitsopitsoka,2022-06-30,2022-06-03
Ampitsopitsoka,2022-06-30,2022-06-03
Ampitsopitsoka,2022-06-30,2022-06-04
Ampitsopitsoka,2022-06-30,2022-06-04
Ampitsopitsoka,2022-06-30,2022-06-04
Ampitsopitsoka,2022-06-30,2022-06-04
Ampitsopitsoka,2022-06-30,2022-06-04
Ampitsopitsoka,2022-06-30,2022-06-06
Ampitsopitsoka,2022-06-30,2022-06-06
Ampitsopitsoka,2022-06-30,2022-06-06
Ampitsopitsoka,2022-06-30,2022-06-06
Ampitsopitsoka,2022-06-30,2022-06-06
Ampitsopitsoka,2022-06-30,2022-06-07
Ampitsopitsoka,2022-06-30,2022-06-07
Ampitsopitsoka,2022-06-30,2022-06-07
Ampitsopitsoka,2022-06-30,2022-06-08
Ampitsopitsoka,2022-06-30,2022-06-08
Ampitsopitsoka,2022-06-30,2022-06-08
Ampitsopitsoka,2022-06-30,2022-06-08
Ampitsopitsoka,2022-06-30,2022-06-08
Ampitsopitsoka,2022-06-30,2022-06-09
Ampitsopitsoka,2022-06-30,2022-06-09
Ampitsopitsoka,2022-06-30,2022-06-09
Ampitsopitsoka,2022-06-30,2022-06-09
Ampitsopitsoka,2022-06-30,2022-06-09
Ampitsopitsoka,2022-06-30,2022-06-13
Ampitsopitsoka,2022-06-30,2022-06-13
Ampitsopitsoka,2022-06-30,2022-06-13
Ampitsopitsoka,2022-06-30,2022-06-13
Ampitsopitsoka,2022-06-30,2022-06-13
Ampitsopitsoka,2022-06-30,2022-06-14
Ampitsopitsoka,2022-06-30,2022-06-14
Ampitsopitsoka,2022-06-30,2022-06-14
Ampitsopitsoka,2022-06-30,2022-06-14
Ampitsopitsoka,2022-06-30,2022-06-14
Ampitsopitsoka,2022-06-30,2022-06-15
Ampitsopitsoka,2022-06-30,2022-06-15
Ampitsopitsoka,2022-06-30,2022-06-15
Ampitsopitsoka,2022-06-30,2022-06-15
Ampitsopitsoka,2022-06-30,2022-06-15
Ampitsopitsoka,2022-06-30,2022-06-16
Ampitsopitsoka,2022-06-30,2022-06-16
Ampitsopitsoka,2022-06-30,2022-06-16
Ampitsopitsoka,2022-06-30,2022-06-16
Ampitsopitsoka,2022-06-30,2022-06-16
Ampitsopitsoka,2022-07-31,2022-07-01
Ampitsopitsoka,2022-07-31,2022-07-04
Ampitsopitsoka,2022-07-31,2022-07-04
Ampitsopitsoka,2022-07-31,2022-07-04
Ampitsopitsoka,2022-07-31,2022-07-04
Ampitsopitsoka,2022-07-31,2022-07-04
Ampitsopitsoka,2022-07-31,2022-07-05
Ampitsopitsoka,2022-07-31,2022-07-05
Ampitsopitsoka,2022-07-31,2022-07-05
Ampitsopitsoka,2022-07-31,2022-07-05
Ampitsopitsoka,2022-07-31,2022-07-05
Ampitsopitsoka,2022-07-31,2022-07-06
Ampitsopitsoka,2022-07-31,2022-07-06
Ampitsopitsoka,2022-07-31,2022-07-06
Ampitsopitsoka,2022-07-31,2022-07-06
Ampitsopitsoka,2022-07-31,2022-07-06
Ampitsopitsoka,2022-07-31,2022-07-07
Ampitsopitsoka,2022-07-31,2022-07-07
Ampitsopitsoka,2022-07-31,2022-07-07
Ampitsopitsoka,2022-07-31,2022-07-07
Ampitsopitsoka,2022-07-31,2022-07-11
Ampitsopitsoka,2022-07-31,2022-07-11
Ampitsopitsoka,2022-07-31,2022-07-11
